array_type,time,element_size
mono, 0.270102, 1232
mono, 0.110866, 1233
mono, 0.129709, 1234
mono, 0.081929, 1235
mono, 0.107864, 1236
mono, 0.083465, 1237
mono, 0.096367, 1238
mono, 0.081490, 1239
mono, 0.116596, 1240
mono, 0.084651, 1241
mono, 0.082810, 1242
mono, 0.087442, 1243
mono, 0.110149, 1244
mono, 0.091774, 1245
mono, 0.085584, 1246
mono, 0.086945, 1247
mono, 0.134949, 1248
mono, 0.115597, 1249
mono, 0.078116, 1250
mono, 0.083501, 1251
mono, 0.080797, 1252
mono, 0.084118, 1253
mono, 0.085002, 1254
mono, 0.087993, 1255
mono, 0.087049, 1256
mono, 0.086429, 1257
mono, 0.087647, 1258
mono, 0.117572, 1259
mono, 0.088227, 1260
mono, 0.129143, 1261
mono, 0.077676, 1262
mono, 0.084726, 1263
mono, 0.086544, 1264
mono, 0.084711, 1265
mono, 0.106627, 1266
mono, 0.086441, 1267
mono, 0.092116, 1268
mono, 0.085217, 1269
mono, 0.074306, 1270
mono, 0.128409, 1271
mono, 0.102735, 1272
mono, 0.129986, 1273
mono, 0.101890, 1274
mono, 0.110056, 1275
mono, 0.088169, 1276
mono, 0.117085, 1277
mono, 0.114388, 1278
mono, 0.101688, 1279
mono, 0.121319, 1280
mono, 0.106961, 1281
mono, 0.088918, 1282
mono, 0.086306, 1283
mono, 0.105799, 1284
mono, 0.102848, 1285
mono, 0.090281, 1286
mono, 0.087420, 1287
mono, 0.091520, 1288
mono, 0.087413, 1289
mono, 0.088446, 1290
mono, 0.086858, 1291
mono, 0.107315, 1292
mono, 0.086228, 1293
mono, 0.086837, 1294
mono, 0.085834, 1295
mono, 0.106290, 1296
mono, 0.087543, 1297
mono, 0.079794, 1232
mono, 0.080031, 1233
mono, 0.079390, 1234
mono, 0.089670, 1235
mono, 0.080063, 1236
mono, 0.083514, 1237
mono, 0.083488, 1238
mono, 0.082837, 1239
mono, 0.072232, 1240
mono, 0.083093, 1241
mono, 0.071763, 1242
mono, 0.086658, 1243
mono, 0.087879, 1244
mono, 0.084627, 1245
mono, 0.082713, 1246
mono, 0.082990, 1247
mono, 0.121896, 1248
mono, 0.092685, 1249
mono, 0.083429, 1250
mono, 0.079295, 1251
mono, 0.082546, 1252
mono, 0.080198, 1253
mono, 0.085289, 1254
mono, 0.072113, 1255
mono, 0.083410, 1256
mono, 0.071835, 1257
mono, 0.080862, 1258
mono, 0.085841, 1259
mono, 0.085152, 1260
mono, 0.085687, 1261
mono, 0.093098, 1262
mono, 0.083935, 1263
mono, 0.081832, 1264
mono, 0.089725, 1265
mono, 0.081903, 1266
mono, 0.086640, 1267
mono, 0.078464, 1268
mono, 0.085607, 1269
mono, 0.105168, 1270
mono, 0.100602, 1271
mono, 0.073345, 1272
mono, 0.083653, 1273
mono, 0.085228, 1274
mono, 0.123746, 1275
mono, 0.115512, 1276
mono, 0.083910, 1277
mono, 0.109126, 1278
mono, 0.096202, 1279
mono, 0.129845, 1280
mono, 0.107751, 1281
mono, 0.126673, 1282
mono, 0.083416, 1283
mono, 0.085068, 1284
mono, 0.085363, 1285
mono, 0.133184, 1286
mono, 0.091125, 1287
mono, 0.138521, 1288
mono, 0.077160, 1289
mono, 0.085975, 1290
mono, 0.072169, 1291
mono, 0.088800, 1292
mono, 0.097251, 1293
mono, 0.097942, 1294
mono, 0.095194, 1295
mono, 0.086271, 1296
mono, 0.086594, 1297
mono, 0.082076, 1232
mono, 0.079811, 1233
mono, 0.080788, 1234
mono, 0.085696, 1235
mono, 0.086584, 1236
mono, 0.081664, 1237
mono, 0.080908, 1238
mono, 0.085358, 1239
mono, 0.081733, 1240
mono, 0.088048, 1241
mono, 0.070730, 1242
mono, 0.083115, 1243
mono, 0.083427, 1244
mono, 0.083717, 1245
mono, 0.082928, 1246
mono, 0.082032, 1247
mono, 0.118051, 1248
mono, 0.082449, 1249
mono, 0.084200, 1250
mono, 0.088088, 1251
mono, 0.082936, 1252
mono, 0.069949, 1253
mono, 0.087295, 1254
mono, 0.085136, 1255
mono, 0.083385, 1256
mono, 0.081086, 1257
mono, 0.082599, 1258
mono, 0.086790, 1259
mono, 0.094287, 1260
mono, 0.084058, 1261
mono, 0.070892, 1262
mono, 0.087992, 1263
mono, 0.084492, 1264
mono, 0.084813, 1265
mono, 0.083865, 1266
mono, 0.083644, 1267
mono, 0.091767, 1268
mono, 0.080962, 1269
mono, 0.088386, 1270
mono, 0.077431, 1271
mono, 0.085720, 1272
mono, 0.084196, 1273
mono, 0.089031, 1274
mono, 0.084519, 1275
mono, 0.085803, 1276
mono, 0.082294, 1277
mono, 0.083235, 1278
mono, 0.086013, 1279
mono, 0.127093, 1280
mono, 0.084692, 1281
mono, 0.074074, 1282
mono, 0.085835, 1283
mono, 0.087105, 1284
mono, 0.085786, 1285
mono, 0.083111, 1286
mono, 0.082341, 1287
mono, 0.114611, 1288
mono, 0.076038, 1289
mono, 0.127885, 1290
