array_type,time,element_size
base, 0.000704, 16
mono, 0.002505, 16
sliced, 0.003426, 16
SQ, 0.004209, 16
HAT, 0.003328, 16
MSarray_2, 0.003687, 16
MSarray_3, 0.003615, 16
MSarray_4, 0.003522, 16
base, 0.001241, 32
mono, 0.002572, 32
sliced, 0.002897, 32
SQ, 0.003863, 32
HAT, 0.003140, 32
MSarray_2, 0.003068, 32
MSarray_3, 0.003702, 32
MSarray_4, 0.003073, 32
base, 0.001975, 48
mono, 0.002436, 48
sliced, 0.003051, 48
SQ, 0.003837, 48
HAT, 0.003389, 48
MSarray_2, 0.003089, 48
MSarray_3, 0.003370, 48
MSarray_4, 0.002724, 48
base, 0.002417, 64
mono, 0.002486, 64
sliced, 0.003076, 64
SQ, 0.003721, 64
HAT, 0.003120, 64
MSarray_2, 0.003132, 64
MSarray_3, 0.003396, 64
MSarray_4, 0.002777, 64
base, 0.003071, 80
mono, 0.002909, 80
sliced, 0.004484, 80
SQ, 0.004330, 80
HAT, 0.003403, 80
MSarray_2, 0.002204, 80
MSarray_3, 0.003501, 80
MSarray_4, 0.003838, 80
base, 0.003223, 96
mono, 0.003592, 96
sliced, 0.003527, 96
SQ, 0.003899, 96
HAT, 0.003906, 96
MSarray_2, 0.003954, 96
MSarray_3, 0.004085, 96
MSarray_4, 0.004416, 96
base, 0.003761, 112
mono, 0.003804, 112
sliced, 0.005475, 112
SQ, 0.004316, 112
HAT, 0.004213, 112
MSarray_2, 0.003710, 112
MSarray_3, 0.003804, 112
MSarray_4, 0.004471, 112
base, 0.004371, 128
mono, 0.005594, 128
sliced, 0.006525, 128
SQ, 0.007160, 128
HAT, 0.006300, 128
MSarray_2, 0.007590, 128
MSarray_3, 0.007731, 128
MSarray_4, 0.009128, 128
base, 0.004818, 144
mono, 0.006725, 144
sliced, 0.007817, 144
SQ, 0.009641, 144
HAT, 0.007709, 144
MSarray_2, 0.010426, 144
MSarray_3, 0.010413, 144
MSarray_4, 0.011166, 144
base, 0.005270, 160
mono, 0.007697, 160
sliced, 0.009366, 160
SQ, 0.011345, 160
HAT, 0.009261, 160
MSarray_2, 0.012934, 160
MSarray_3, 0.013177, 160
MSarray_4, 0.013862, 160
base, 0.005769, 176
mono, 0.007355, 176
sliced, 0.009019, 176
SQ, 0.009846, 176
HAT, 0.008316, 176
MSarray_2, 0.010690, 176
MSarray_3, 0.011015, 176
MSarray_4, 0.011598, 176
base, 0.004429, 192
mono, 0.006991, 192
sliced, 0.006893, 192
SQ, 0.008588, 192
HAT, 0.007523, 192
MSarray_2, 0.009540, 192
MSarray_3, 0.009336, 192
MSarray_4, 0.010925, 192
base, 0.006781, 208
mono, 0.007846, 208
sliced, 0.009454, 208
SQ, 0.010941, 208
HAT, 0.009224, 208
MSarray_2, 0.011967, 208
MSarray_3, 0.011448, 208
MSarray_4, 0.013320, 208
base, 0.006974, 224
mono, 0.008214, 224
sliced, 0.009959, 224
SQ, 0.012130, 224
HAT, 0.009805, 224
MSarray_2, 0.014444, 224
MSarray_3, 0.013522, 224
MSarray_4, 0.015867, 224
base, 0.007141, 240
mono, 0.008583, 240
sliced, 0.008876, 240
SQ, 0.012482, 240
HAT, 0.010128, 240
MSarray_2, 0.014457, 240
MSarray_3, 0.013515, 240
MSarray_4, 0.015691, 240
base, 0.004400, 256
mono, 0.007559, 256
