array_type,time,element_size
base, 0.295876, 16
mono, 0.570860, 16
sliced, 0.602587, 16
SQ, 0.619354, 16
HAT, 0.534517, 16
MSarray_2, 0.816577, 16
MSarray_3, 0.890843, 16
MSarray_4, 0.814381, 16
base, 0.496489, 32
mono, 0.843770, 32
sliced, 0.810055, 32
SQ, 0.894261, 32
HAT, 0.704743, 32
MSarray_2, 1.044573, 32
MSarray_3, 1.201002, 32
MSarray_4, 1.055649, 32
base, 0.701876, 48
mono, 0.873967, 48
sliced, 1.023273, 48
SQ, 1.125050, 48
HAT, 0.909963, 48
MSarray_2, 1.196269, 48
MSarray_3, 1.370669, 48
MSarray_4, 1.207018, 48
base, 1.006920, 64
mono, 1.107418, 64
sliced, 1.246551, 64
SQ, 1.219133, 64
HAT, 1.124511, 64
MSarray_2, 1.468037, 64
MSarray_3, 1.557439, 64
MSarray_4, 1.532973, 64
base, 1.004860, 80
mono, 0.994979, 80
sliced, 1.266638, 80
SQ, 1.290653, 80
HAT, 1.137976, 80
MSarray_2, 1.502574, 80
MSarray_3, 1.651683, 80
MSarray_4, 1.469376, 80
base, 1.131547, 96
mono, 1.181445, 96
sliced, 1.300510, 96
SQ, 1.395837, 96
HAT, 1.226412, 96
MSarray_2, 1.544020, 96
MSarray_3, 1.781395, 96
MSarray_4, 1.673353, 96
base, 1.134546, 112
mono, 1.260186, 112
sliced, 1.528053, 112
SQ, 1.438984, 112
HAT, 1.383472, 112
MSarray_2, 1.715726, 112
MSarray_3, 1.751126, 112
MSarray_4, 1.703806, 112
base, 1.185534, 128
mono, 1.366811, 128
sliced, 1.623114, 128
SQ, 1.569982, 128
HAT, 1.514069, 128
MSarray_2, 1.882725, 128
MSarray_3, 1.922730, 128
MSarray_4, 1.883640, 128
base, 1.075840, 144
mono, 1.131513, 144
sliced, 1.325447, 144
SQ, 1.371698, 144
HAT, 1.230452, 144
MSarray_2, 1.661545, 144
MSarray_3, 1.709419, 144
MSarray_4, 1.674373, 144
base, 1.127196, 160
mono, 1.197777, 160
sliced, 1.389333, 160
SQ, 1.415876, 160
HAT, 1.266773, 160
MSarray_2, 1.716871, 160
MSarray_3, 1.825740, 160
MSarray_4, 1.722075, 160
base, 1.152510, 176
mono, 1.214395, 176
sliced, 1.414936, 176
SQ, 1.443545, 176
HAT, 1.332147, 176
MSarray_2, 1.754692, 176
MSarray_3, 1.865232, 176
MSarray_4, 1.752963, 176
base, 1.222225, 192
mono, 1.292118, 192
sliced, 1.483771, 192
SQ, 1.492645, 192
HAT, 1.414083, 192
MSarray_2, 1.941413, 192
MSarray_3, 2.009555, 192
MSarray_4, 1.921418, 192
base, 1.262165, 208
mono, 1.328140, 208
sliced, 1.545146, 208
SQ, 1.537113, 208
HAT, 1.443550, 208
MSarray_2, 2.015464, 208
MSarray_3, 2.041059, 208
MSarray_4, 2.027643, 208
base, 1.317082, 224
mono, 1.410556, 224
sliced, 1.616048, 224
SQ, 1.604986, 224
HAT, 1.539637, 224
MSarray_2, 2.071235, 224
MSarray_3, 2.201889, 224
MSarray_4, 2.111174, 224
base, 1.378822, 240
mono, 1.475794, 240
sliced, 1.722424, 240
SQ, 1.701678, 240
HAT, 1.617632, 240
MSarray_2, 2.101483, 240
MSarray_3, 2.217628, 240
MSarray_4, 2.099267, 240
base, 1.397331, 256
mono, 1.509466, 256
sliced, 1.716561, 256
SQ, 1.771884, 256
HAT, 1.645859, 256
MSarray_2, 2.178961, 256
MSarray_3, 2.228199, 256
MSarray_4, 2.170973, 256
base, 1.687806, 272
mono, 1.804106, 272
sliced, 2.036114, 272
SQ, 2.032229, 272
HAT, 1.932059, 272
MSarray_2, 2.382039, 272
MSarray_3, 2.508894, 272
MSarray_4, 2.420018, 272
base, 1.745602, 288
mono, 1.861457, 288
sliced, 2.120506, 288
SQ, 2.056881, 288
HAT, 1.941551, 288
MSarray_2, 2.378632, 288
MSarray_3, 2.482695, 288
MSarray_4, 2.416066, 288
base, 1.802694, 304
mono, 1.883276, 304
sliced, 2.156603, 304
SQ, 2.061758, 304
HAT, 1.989283, 304
MSarray_2, 2.415639, 304
MSarray_3, 2.519834, 304
MSarray_4, 2.457446, 304
base, 1.839522, 320
mono, 1.929073, 320
sliced, 2.179032, 320
SQ, 2.123240, 320
HAT, 2.059442, 320
MSarray_2, 2.456211, 320
MSarray_3, 2.572569, 320
MSarray_4, 2.509813, 320
base, 1.815830, 336
