array_type,time,element_size
mono, 0.009711, 16
mono, 0.010016, 32
mono, 0.010814, 48
mono, 0.008765, 64
mono, 0.010471, 80
mono, 0.013127, 96
mono, 0.013842, 112
mono, 0.016631, 128
mono, 0.016237, 144
mono, 0.015700, 160
mono, 0.015682, 176
mono, 0.014367, 192
mono, 0.017426, 208
mono, 0.021579, 224
mono, 0.018981, 240
mono, 0.022204, 256
mono, 0.020003, 272
mono, 0.029526, 288
mono, 0.023914, 304
mono, 0.032810, 320
mono, 0.025163, 336
mono, 0.036979, 352
mono, 0.027496, 368
mono, 0.039923, 384
mono, 0.029529, 400
mono, 0.045795, 416
mono, 0.032941, 432
mono, 0.045490, 448
mono, 0.031199, 464
mono, 0.054982, 480
mono, 0.032567, 496
mono, 0.037936, 512
mono, 0.032381, 528
mono, 0.057289, 544
mono, 0.034214, 560
mono, 0.057186, 576
mono, 0.036900, 592
mono, 0.059196, 608
mono, 0.039913, 624
mono, 0.059711, 640
mono, 0.040182, 656
mono, 0.061419, 672
mono, 0.041871, 688
mono, 0.062171, 704
mono, 0.045398, 720
mono, 0.066350, 736
mono, 0.051991, 752
mono, 0.069796, 768
mono, 0.063480, 784
mono, 0.088013, 800
mono, 0.052931, 816
mono, 0.078086, 832
mono, 0.055982, 848
mono, 0.083310, 864
mono, 0.059854, 880
mono, 0.092235, 896
mono, 0.045801, 912
mono, 0.079433, 928
mono, 0.068725, 944
mono, 0.081419, 960
mono, 0.062340, 976
mono, 0.098543, 992
mono, 0.073984, 1008
mono, 0.051778, 1024
mono, 0.072239, 1040
mono, 0.091234, 1056
mono, 0.068705, 1072
mono, 0.103402, 1088
mono, 0.076156, 1104
mono, 0.104167, 1120
mono, 0.065560, 1136
mono, 0.103293, 1152
mono, 0.072704, 1168
mono, 0.101309, 1184
mono, 0.069963, 1200
mono, 0.109360, 1216
mono, 0.076545, 1232
mono, 0.104284, 1248
mono, 0.076289, 1264
mono, 0.169127, 1280
mono, 0.073630, 1296
mono, 0.107802, 1312
mono, 0.078001, 1328
mono, 0.096819, 1344
mono, 0.080626, 1360
mono, 0.111091, 1376
mono, 0.090640, 1392
mono, 0.181659, 1408
mono, 0.081162, 1424
mono, 0.106732, 1440
mono, 0.077962, 1456
mono, 0.106647, 1472
mono, 0.083737, 1488
mono, 0.159988, 1504
mono, 0.140566, 1520
mono, 0.117232, 1536
mono, 0.139803, 1552
mono, 0.162940, 1568
mono, 0.138900, 1584
mono, 0.161798, 1600
mono, 0.142345, 1616
mono, 0.191010, 1632
mono, 0.145965, 1648
mono, 0.189721, 1664
mono, 0.151497, 1680
mono, 0.197824, 1696
mono, 0.151606, 1712
mono, 0.199619, 1728
mono, 0.162022, 1744
mono, 0.203775, 1760
mono, 0.163427, 1776
mono, 0.220699, 1792
mono, 0.169493, 1808
mono, 0.222481, 1824
mono, 0.171392, 1840
mono, 0.224981, 1856
mono, 0.179060, 1872
mono, 0.228935, 1888
mono, 0.181398, 1904
mono, 0.238247, 1920
mono, 0.191355, 1936
mono, 0.234924, 1952
mono, 0.197489, 1968
mono, 0.245171, 1984
mono, 0.201172, 2000
mono, 0.246035, 2016
mono, 0.205372, 2032
mono, 0.213123, 2048
sliced, 0.006323, 16
sliced, 0.006584, 32
sliced, 0.007687, 48
sliced, 0.004706, 64
sliced, 0.005720, 80
sliced, 0.004953, 96
sliced, 0.007325, 112
sliced, 0.009052, 128
sliced, 0.006723, 144
sliced, 0.016802, 160
sliced, 0.007793, 176
sliced, 0.013719, 192
sliced, 0.008820, 208
sliced, 0.023241, 224
sliced, 0.009952, 240
sliced, 0.016048, 256
sliced, 0.010065, 272
sliced, 0.031273, 288
sliced, 0.011146, 304
sliced, 0.036141, 320
sliced, 0.012274, 336
sliced, 0.036762, 352
sliced, 0.013315, 368
sliced, 0.037768, 384
sliced, 0.015134, 400
sliced, 0.041715, 416
sliced, 0.017197, 432
sliced, 0.046638, 448
sliced, 0.016628, 464
sliced, 0.052027, 480
sliced, 0.017925, 496
sliced, 0.031305, 512
sliced, 0.018603, 528
sliced, 0.053071, 544
sliced, 0.019732, 560
sliced, 0.049143, 576
sliced, 0.021256, 592
sliced, 0.049991, 608
sliced, 0.022081, 624
sliced, 0.051912, 640
sliced, 0.024007, 656
sliced, 0.053532, 672
sliced, 0.025834, 688
sliced, 0.054044, 704
sliced, 0.027021, 720
sliced, 0.056400, 736
sliced, 0.028654, 752
sliced, 0.062733, 768
sliced, 0.030309, 784
sliced, 0.068989, 800
sliced, 0.032240, 816
sliced, 0.070446, 832
sliced, 0.033834, 848
sliced, 0.077144, 864
sliced, 0.035392, 880
sliced, 0.073450, 896
sliced, 0.037123, 912
sliced, 0.075370, 928
sliced, 0.038495, 944
sliced, 0.077564, 960
