array_type,time,element_size
base, 0.000004, 100
mono, 0.000010, 100
sliced, 0.000019, 100
SQ, 0.000014, 100
HAT, 0.000016, 100
MSarray_2, 0.000011, 100
MSarray_3, 0.000010, 100
MSarray_4, 0.000008, 100
geo, 0.000004, 100
base, 0.000004, 200
mono, 0.000016, 200
sliced, 0.000017, 200
SQ, 0.000023, 200
HAT, 0.000024, 200
MSarray_2, 0.000024, 200
MSarray_3, 0.000024, 200
MSarray_4, 0.000016, 200
geo, 0.000012, 200
base, 0.000005, 400
mono, 0.000015, 400
sliced, 0.000026, 400
SQ, 0.000027, 400
HAT, 0.000028, 400
MSarray_2, 0.000033, 400
MSarray_3, 0.000036, 400
MSarray_4, 0.000029, 400
geo, 0.000014, 400
base, 0.000006, 1000
mono, 0.000033, 1000
sliced, 0.000041, 1000
SQ, 0.000040, 1000
HAT, 0.000052, 1000
MSarray_2, 0.000060, 1000
MSarray_3, 0.000065, 1000
MSarray_4, 0.000058, 1000
geo, 0.000041, 1000
base, 0.000006, 2000
mono, 0.000054, 2000
sliced, 0.000082, 2000
SQ, 0.000086, 2000
HAT, 0.000097, 2000
MSarray_2, 0.000147, 2000
MSarray_3, 0.000121, 2000
MSarray_4, 0.000144, 2000
geo, 0.000048, 2000
base, 0.000005, 4000
mono, 0.000141, 4000
sliced, 0.000165, 4000
SQ, 0.000152, 4000
HAT, 0.000186, 4000
MSarray_2, 0.000186, 4000
MSarray_3, 0.000216, 4000
MSarray_4, 0.000305, 4000
geo, 0.000186, 4000
base, 0.000007, 10000
mono, 0.000398, 10000
sliced, 0.000356, 10000
SQ, 0.000333, 10000
HAT, 0.000278, 10000
MSarray_2, 0.000501, 10000
MSarray_3, 0.000345, 10000
MSarray_4, 0.000664, 10000
geo, 0.000320, 10000
base, 0.000009, 20000
mono, 0.000633, 20000
sliced, 0.000820, 20000
SQ, 0.000640, 20000
HAT, 0.000879, 20000
MSarray_2, 0.000710, 20000
MSarray_3, 0.001127, 20000
MSarray_4, 0.001190, 20000
geo, 0.000613, 20000
base, 0.000004, 40000
mono, 0.001184, 40000
sliced, 0.001431, 40000
SQ, 0.001257, 40000
HAT, 0.001408, 40000
MSarray_2, 0.001714, 40000
MSarray_3, 0.002213, 40000
MSarray_4, 0.002207, 40000
geo, 0.001171, 40000
base, 0.000011, 100000
mono, 0.002765, 100000
sliced, 0.003729, 100000
SQ, 0.003115, 100000
HAT, 0.003205, 100000
MSarray_2, 0.004117, 100000
MSarray_3, 0.003340, 100000
MSarray_4, 0.004999, 100000
geo, 0.002806, 100000
base, 0.000003, 200000
mono, 0.005214, 200000
sliced, 0.005942, 200000
SQ, 0.005462, 200000
HAT, 0.006015, 200000
MSarray_2, 0.006352, 200000
MSarray_3, 0.007384, 200000
MSarray_4, 0.009352, 200000
geo, 0.005486, 200000
base, 0.000007, 400000
mono, 0.007704, 400000
sliced, 0.012229, 400000
SQ, 0.011815, 400000
HAT, 0.012607, 400000
MSarray_2, 0.013678, 400000
MSarray_3, 0.014880, 400000
MSarray_4, 0.015047, 400000
geo, 0.010868, 400000
base, 0.000009, 1000000
mono, 0.023749, 1000000
sliced, 0.027288, 1000000
SQ, 0.025466, 1000000
HAT, 0.026481, 1000000
MSarray_2, 0.027175, 1000000
MSarray_3, 0.029012, 1000000
MSarray_4, 0.017372, 1000000
geo, 0.022079, 1000000
base, 0.000008, 100
mono, 0.000010, 100
sliced, 0.000015, 100
SQ, 0.000017, 100
HAT, 0.000017, 100
MSarray_2, 0.000023, 100
MSarray_3, 0.000013, 100
MSarray_4, 0.000014, 100
geo, 0.000008, 100
base, 0.000009, 200
mono, 0.000014, 200
sliced, 0.000020, 200
SQ, 0.000020, 200
HAT, 0.000023, 200
MSarray_2, 0.000021, 200
MSarray_3, 0.000023, 200
MSarray_4, 0.000019, 200
geo, 0.000012, 200
base, 0.000010, 400
mono, 0.000015, 400
