array_type,time,element_size
base, 0.014933, 16
mono, 0.025087, 16
sliced, 0.028708, 16
SQ, 0.025879, 16
HAT, 0.027183, 16
MSarray_2, 0.029551, 16
MSarray_3, 0.029542, 16
MSarray_4, 0.036478, 16
geo, 0.025428, 16
base, 0.026126, 32
mono, 0.027068, 32
sliced, 0.032519, 32
SQ, 0.028775, 32
HAT, 0.030901, 32
MSarray_2, 0.039464, 32
MSarray_3, 0.037531, 32
MSarray_4, 0.044559, 32
geo, 0.027181, 32
base, 0.027565, 48
mono, 0.028940, 48
sliced, 0.036156, 48
SQ, 0.029606, 48
HAT, 0.033987, 48
MSarray_2, 0.043276, 48
MSarray_3, 0.042188, 48
MSarray_4, 0.054202, 48
geo, 0.030593, 48
base, 0.030371, 64
mono, 0.031970, 64
sliced, 0.034433, 64
SQ, 0.032942, 64
HAT, 0.035983, 64
MSarray_2, 0.042187, 64
MSarray_3, 0.042973, 64
MSarray_4, 0.057449, 64
geo, 0.032026, 64
base, 0.033599, 80
mono, 0.033285, 80
sliced, 0.038425, 80
SQ, 0.035463, 80
HAT, 0.041168, 80
MSarray_2, 0.047862, 80
MSarray_3, 0.044251, 80
MSarray_4, 0.061075, 80
geo, 0.033892, 80
base, 0.035436, 96
mono, 0.035016, 96
sliced, 0.037325, 96
SQ, 0.036284, 96
HAT, 0.042139, 96
MSarray_2, 0.048927, 96
MSarray_3, 0.046835, 96
MSarray_4, 0.064928, 96
geo, 0.038100, 96
base, 0.035401, 112
mono, 0.033007, 112
sliced, 0.043005, 112
SQ, 0.041577, 112
HAT, 0.043910, 112
MSarray_2, 0.054365, 112
MSarray_3, 0.051456, 112
MSarray_4, 0.073016, 112
geo, 0.040227, 112
base, 0.037450, 128
mono, 0.041140, 128
sliced, 0.043660, 128
SQ, 0.042454, 128
HAT, 0.045429, 128
MSarray_2, 0.053836, 128
MSarray_3, 0.054796, 128
MSarray_4, 0.078424, 128
geo, 0.034343, 128
base, 0.039559, 144
mono, 0.041259, 144
sliced, 0.046571, 144
SQ, 0.044550, 144
HAT, 0.048032, 144
MSarray_2, 0.059594, 144
MSarray_3, 0.054594, 144
MSarray_4, 0.083631, 144
geo, 0.041349, 144
base, 0.040297, 160
mono, 0.043139, 160
sliced, 0.047239, 160
SQ, 0.045936, 160
HAT, 0.051711, 160
MSarray_2, 0.061003, 160
MSarray_3, 0.059152, 160
MSarray_4, 0.087246, 160
geo, 0.044717, 160
base, 0.031287, 176
mono, 0.047125, 176
sliced, 0.054468, 176
SQ, 0.049464, 176
HAT, 0.054415, 176
MSarray_2, 0.065275, 176
MSarray_3, 0.061593, 176
MSarray_4, 0.093661, 176
geo, 0.047655, 176
base, 0.030623, 192
mono, 0.048895, 192
sliced, 0.055129, 192
SQ, 0.050802, 192
HAT, 0.056373, 192
MSarray_2, 0.068988, 192
MSarray_3, 0.063323, 192
MSarray_4, 0.098095, 192
geo, 0.046496, 192
base, 0.045854, 208
mono, 0.052419, 208
sliced, 0.057569, 208
SQ, 0.051667, 208
HAT, 0.062318, 208
MSarray_2, 0.073688, 208
MSarray_3, 0.069377, 208
MSarray_4, 0.106515, 208
geo, 0.051898, 208
base, 0.049679, 224
mono, 0.052954, 224
sliced, 0.057897, 224
SQ, 0.055557, 224
HAT, 0.063516, 224
MSarray_2, 0.062410, 224
MSarray_3, 0.071069, 224
MSarray_4, 0.112497, 224
geo, 0.054354, 224
base, 0.051433, 240
mono, 0.057720, 240
sliced, 0.063746, 240
SQ, 0.059307, 240
HAT, 0.066785, 240
MSarray_2, 0.080726, 240
MSarray_3, 0.074733, 240
MSarray_4, 0.121363, 240
geo, 0.042323, 240
base, 0.051583, 256
mono, 0.058625, 256
sliced, 0.062715, 256
SQ, 0.062473, 256
HAT, 0.065789, 256
MSarray_2, 0.082863, 256
MSarray_3, 0.080242, 256
MSarray_4, 0.123518, 256
geo, 0.057018, 256
base, 0.052468, 272
mono, 0.061388, 272
sliced, 0.068445, 272
SQ, 0.061458, 272
HAT, 0.071894, 272
MSarray_2, 0.089408, 272
MSarray_3, 0.082522, 272
MSarray_4, 0.146967, 272
geo, 0.062924, 272
base, 0.055337, 288
mono, 0.060504, 288
sliced, 0.069418, 288
SQ, 0.065482, 288
HAT, 0.071887, 288
MSarray_2, 0.092784, 288
MSarray_3, 0.084012, 288
MSarray_4, 0.155335, 288
geo, 0.062904, 288
base, 0.059454, 304
mono, 0.067701, 304
sliced, 0.073694, 304
SQ, 0.069147, 304
HAT, 0.074244, 304
MSarray_2, 0.095013, 304
MSarray_3, 0.087720, 304
MSarray_4, 0.164997, 304
geo, 0.069204, 304
base, 0.057056, 320
mono, 0.069398, 320
sliced, 0.071988, 320
SQ, 0.071770, 320
HAT, 0.078772, 320
MSarray_2, 0.087691, 320
MSarray_3, 0.092738, 320
MSarray_4, 0.169130, 320
geo, 0.069417, 320
base, 0.060284, 336
mono, 0.069838, 336
sliced, 0.085720, 336
SQ, 0.073721, 336
HAT, 0.083135, 336
MSarray_2, 0.100854, 336
MSarray_3, 0.094593, 336
MSarray_4, 0.177596, 336
geo, 0.074798, 336
base, 0.061912, 352
mono, 0.071982, 352
sliced, 0.079441, 352
SQ, 0.076441, 352
HAT, 0.080898, 352
MSarray_2, 0.105482, 352
MSarray_3, 0.096577, 352
MSarray_4, 0.188237, 352
geo, 0.074906, 352
base, 0.059856, 368
mono, 0.075666, 368
sliced, 0.077984, 368
SQ, 0.081728, 368
HAT, 0.086887, 368
MSarray_2, 0.110545, 368
MSarray_3, 0.101762, 368
MSarray_4, 0.198007, 368
geo, 0.079049, 368
base, 0.063869, 384
mono, 0.081462, 384
sliced, 0.084368, 384
SQ, 0.081122, 384
HAT, 0.088934, 384
MSarray_2, 0.112960, 384
MSarray_3, 0.108103, 384
MSarray_4, 0.204977, 384
geo, 0.080481, 384
base, 0.057435, 400
mono, 0.083838, 400
sliced, 0.088452, 400
SQ, 0.085775, 400
HAT, 0.093088, 400
MSarray_2, 0.117439, 400
MSarray_3, 0.106079, 400
MSarray_4, 0.208710, 400
geo, 0.081178, 400
base, 0.065345, 416
mono, 0.081566, 416
sliced, 0.088981, 416
SQ, 0.086113, 416
HAT, 0.096797, 416
MSarray_2, 0.119570, 416
MSarray_3, 0.109792, 416
MSarray_4, 0.221019, 416
geo, 0.084583, 416
base, 0.071814, 432
mono, 0.086561, 432
sliced, 0.097416, 432
SQ, 0.090262, 432
HAT, 0.098872, 432
MSarray_2, 0.122110, 432
MSarray_3, 0.112726, 432
MSarray_4, 0.227669, 432
geo, 0.088070, 432
base, 0.074275, 448
mono, 0.089066, 448
sliced, 0.095246, 448
SQ, 0.090543, 448
HAT, 0.101550, 448
MSarray_2, 0.125291, 448
MSarray_3, 0.116738, 448
MSarray_4, 0.233268, 448
geo, 0.092306, 448
base, 0.073823, 464
mono, 0.093382, 464
sliced, 0.096437, 464
SQ, 0.096046, 464
HAT, 0.087817, 464
MSarray_2, 0.129147, 464
MSarray_3, 0.121176, 464
MSarray_4, 0.244794, 464
geo, 0.093603, 464
base, 0.074704, 480
mono, 0.095226, 480
sliced, 0.100216, 480
SQ, 0.098933, 480
HAT, 0.106394, 480
MSarray_2, 0.137430, 480
MSarray_3, 0.120100, 480
MSarray_4, 0.244669, 480
geo, 0.097794, 480
base, 0.073158, 496
mono, 0.097131, 496
sliced, 0.102660, 496
SQ, 0.100379, 496
HAT, 0.109147, 496
MSarray_2, 0.136130, 496
MSarray_3, 0.121494, 496
MSarray_4, 0.258769, 496
geo, 0.097662, 496
base, 0.077204, 512
mono, 0.099844, 512
sliced, 0.103705, 512
SQ, 0.101970, 512
HAT, 0.109753, 512
MSarray_2, 0.138801, 512
MSarray_3, 0.125778, 512
MSarray_4, 0.246804, 512
geo, 0.098313, 512
base, 0.077435, 528
mono, 0.107309, 528
sliced, 0.109700, 528
SQ, 0.107019, 528
HAT, 0.118454, 528
MSarray_2, 0.143742, 528
MSarray_3, 0.185697, 528
MSarray_4, 0.241968, 528
geo, 0.106558, 528
base, 0.079492, 544
mono, 0.109520, 544
sliced, 0.110036, 544
SQ, 0.109443, 544
HAT, 0.119676, 544
MSarray_2, 0.149170, 544
MSarray_3, 0.164040, 544
MSarray_4, 0.251108, 544
geo, 0.109682, 544
base, 0.081784, 560
mono, 0.110640, 560
sliced, 0.115590, 560
SQ, 0.112125, 560
HAT, 0.123276, 560
MSarray_2, 0.154800, 560
MSarray_3, 0.151017, 560
MSarray_4, 0.224626, 560
geo, 0.111747, 560
base, 0.086053, 576
mono, 0.115559, 576
sliced, 0.115777, 576
SQ, 0.114400, 576
HAT, 0.125097, 576
MSarray_2, 0.156708, 576
MSarray_3, 0.155844, 576
MSarray_4, 0.266044, 576
geo, 0.114153, 576
base, 0.088962, 592
mono, 0.114580, 592
sliced, 0.119727, 592
SQ, 0.117422, 592
HAT, 0.130410, 592
MSarray_2, 0.159316, 592
MSarray_3, 0.158359, 592
MSarray_4, 0.271744, 592
geo, 0.113473, 592
base, 0.090131, 608
mono, 0.119307, 608
sliced, 0.121666, 608
SQ, 0.118973, 608
HAT, 0.132134, 608
MSarray_2, 0.162838, 608
MSarray_3, 0.164762, 608
MSarray_4, 0.280393, 608
geo, 0.119051, 608
base, 0.090234, 624
mono, 0.120275, 624
sliced, 0.126327, 624
