array_type,time,element_size,checksum
geo, 0.005550, 16, 549770476255
mono, 0.004283, 16, 549770476255
sliced, 0.014093, 16, 549770476255
SQ, 0.007512, 16, 549770476255
HAT, 0.010255, 16, 549770476255
MSarray_2, 0.023462, 16, 549770476255
MSarray_3, 0.012952, 16, 549770476255
MSarray_4, 0.028045, 16, 549770476255
geo, 0.004841, 32, 549770476255
mono, 0.004849, 32, 549770476255
sliced, 0.008611, 32, 549770476255
SQ, 0.009803, 32, 549770476255
HAT, 0.014669, 32, 549770476255
MSarray_2, 0.029541, 32, 549770476255
MSarray_3, 0.022807, 32, 549770476255
MSarray_4, 0.037257, 32, 549770476255
geo, 0.005751, 48, 549770476255
mono, 0.004238, 48, 549770476255
sliced, 0.014860, 48, 549770476255
SQ, 0.008966, 48, 549770476255
HAT, 0.016026, 48, 549770476255
MSarray_2, 0.029535, 48, 549770476255
MSarray_3, 0.026233, 48, 549770476255
MSarray_4, 0.048430, 48, 549770476255
geo, 0.005797, 64, 549770476255
mono, 0.004092, 64, 549770476255
sliced, 0.012720, 64, 549770476255
SQ, 0.007884, 64, 549770476255
HAT, 0.017317, 64, 549770476255
MSarray_2, 0.035044, 64, 549770476255
MSarray_3, 0.031465, 64, 549770476255
MSarray_4, 0.057020, 64, 549770476255
geo, 0.006174, 80, 549770476255
mono, 0.006218, 80, 549770476255
sliced, 0.012922, 80, 549770476255
SQ, 0.007284, 80, 549770476255
HAT, 0.023323, 80, 549770476255
MSarray_2, 0.043377, 80, 549770476255
MSarray_3, 0.036213, 80, 549770476255
MSarray_4, 0.059901, 80, 549770476255
geo, 0.006236, 96, 549770476255
mono, 0.004570, 96, 549770476255
sliced, 0.012770, 96, 549770476255
SQ, 0.007801, 96, 549770476255
HAT, 0.021391, 96, 549770476255
MSarray_2, 0.045626, 96, 549770476255
MSarray_3, 0.038810, 96, 549770476255
MSarray_4, 0.067875, 96, 549770476255
geo, 0.009154, 112, 549770476255
mono, 0.006604, 112, 549770476255
sliced, 0.009488, 112, 549770476255
SQ, 0.010219, 112, 549770476255
HAT, 0.021302, 112, 549770476255
MSarray_2, 0.051519, 112, 549770476255
MSarray_3, 0.041859, 112, 549770476255
MSarray_4, 0.081114, 112, 549770476255
geo, 0.004053, 128, 549770476255
mono, 0.004796, 128, 549770476255
sliced, 0.010665, 128, 549770476255
SQ, 0.006005, 128, 549770476255
HAT, 0.023617, 128, 549770476255
MSarray_2, 0.050435, 128, 549770476255
MSarray_3, 0.043857, 128, 549770476255
MSarray_4, 0.090276, 128, 549770476255
geo, 0.004612, 144, 549770476255
mono, 0.004375, 144, 549770476255
sliced, 0.010788, 144, 549770476255
SQ, 0.007496, 144, 549770476255
HAT, 0.024737, 144, 549770476255
MSarray_2, 0.054379, 144, 549770476255
MSarray_3, 0.045346, 144, 549770476255
