array_type,time,element_size
mono, 0.365831, 16
mono, 0.498622, 32
mono, 0.502306, 48
mono, 0.735888, 64
mono, 1.121128, 80
mono, 1.538832, 96
mono, 1.624743, 112
mono, 1.809751, 128
mono, 1.845203, 144
mono, 1.799148, 160
mono, 1.892541, 176
mono, 1.867195, 192
mono, 1.919937, 208
mono, 1.928583, 224
mono, 1.996876, 240
mono, 1.971144, 256
mono, 2.005598, 272
mono, 1.883924, 288
mono, 1.880659, 304
mono, 1.950911, 320
mono, 1.908072, 336
mono, 1.856510, 352
mono, 1.846191, 368
mono, 1.796646, 384
mono, 1.967102, 400
mono, 1.871174, 416
mono, 1.896381, 432
mono, 1.866470, 448
mono, 1.950787, 464
mono, 1.964287, 480
mono, 1.980659, 496
mono, 2.049675, 512
mono, 1.894268, 528
mono, 1.902576, 544
mono, 1.919472, 560
mono, 1.886047, 576
mono, 1.896797, 592
mono, 1.764244, 608
mono, 1.889656, 624
mono, 1.864861, 640
mono, 1.889740, 656
mono, 1.914238, 672
mono, 1.880913, 688
mono, 1.916763, 704
mono, 1.901016, 720
mono, 1.917534, 736
mono, 1.892120, 752
mono, 2.052902, 768
mono, 1.922585, 784
mono, 1.849548, 800
mono, 1.935555, 816
mono, 1.938263, 832
mono, 1.900375, 848
mono, 1.769539, 864
mono, 1.928993, 880
mono, 1.877548, 896
mono, 1.836197, 912
mono, 1.909828, 928
mono, 1.922920, 944
mono, 1.909683, 960
mono, 1.944099, 976
mono, 1.852264, 992
mono, 1.961815, 1008
mono, 2.058678, 1024
mono, 1.934311, 1040
mono, 1.851402, 1056
mono, 1.953667, 1072
mono, 1.955643, 1088
mono, 1.985504, 1104
mono, 1.930405, 1120
mono, 1.962112, 1136
mono, 1.911697, 1152
mono, 1.847305, 1168
mono, 1.962509, 1184
mono, 1.971130, 1200
mono, 1.954819, 1216
mono, 1.995605, 1232
mono, 1.949600, 1248
mono, 1.974792, 1264
mono, 2.084946, 1280
mono, 1.996750, 1296
mono, 1.840408, 1312
mono, 1.963181, 1328
mono, 1.950562, 1344
mono, 2.030762, 1360
mono, 1.953217, 1376
mono, 2.013641, 1392
mono, 1.951279, 1408
mono, 1.967758, 1424
mono, 1.964554, 1440
mono, 2.129440, 1456
mono, 1.984604, 1472
mono, 1.910522, 1488
mono, 1.907562, 1504
mono, 2.076141, 1520
mono, 2.137894, 1536
mono, 2.053238, 1552
mono, 2.006348, 1568
mono, 2.069885, 1584
mono, 2.008560, 1600
mono, 2.055359, 1616
mono, 2.047806, 1632
mono, 2.069244, 1648
mono, 1.983292, 1664
mono, 2.031464, 1680
mono, 1.878036, 1696
mono, 2.042969, 1712
mono, 1.991089, 1728
mono, 2.061646, 1744
mono, 2.033691, 1760
mono, 2.050949, 1776
mono, 2.085358, 1792
mono, 2.060913, 1808
mono, 1.853058, 1824
mono, 2.090729, 1840
mono, 2.062149, 1856
mono, 2.080856, 1872
mono, 2.077072, 1888
mono, 2.182541, 1904
mono, 2.123367, 1920
mono, 2.124100, 1936
mono, 2.078827, 1952
mono, 2.139191, 1968
mono, 2.107513, 1984
mono, 2.144302, 2000
mono, 2.095047, 2016
mono, 2.170837, 2032
mono, 2.246460, 2048
sliced, 0.534824, 16
sliced, 0.616804, 32
sliced, 0.666177, 48
sliced, 0.819477, 64
sliced, 1.058205, 80
sliced, 1.523289, 96
sliced, 1.840937, 112
sliced, 2.018377, 128
sliced, 1.736216, 144
sliced, 1.889748, 160
sliced, 1.727392, 176
sliced, 1.885559, 192
sliced, 1.954027, 208
sliced, 1.987413, 224
sliced, 2.428448, 240
sliced, 2.433409, 256
sliced, 2.072823, 272
sliced, 2.125658, 288
sliced, 2.186064, 304
sliced, 2.270809, 320
sliced, 2.335346, 336
sliced, 2.393257, 352
sliced, 2.367416, 368
sliced, 2.381451, 384
sliced, 2.385303, 400
sliced, 2.391556, 416
sliced, 2.306404, 432
sliced, 2.370289, 448
sliced, 2.401730, 464
sliced, 2.402187, 480
sliced, 2.477516, 496
sliced, 2.410946, 512
sliced, 2.252804, 528
sliced, 2.417740, 544
sliced, 2.397446, 560
sliced, 2.403320, 576
sliced, 2.390251, 592
sliced, 2.452415, 608
sliced, 2.407951, 624
sliced, 2.428841, 640
sliced, 2.438782, 656
sliced, 2.454361, 672
sliced, 2.346153, 688
sliced, 2.414368, 704
sliced, 2.429535, 720
sliced, 2.447037, 736
sliced, 2.431747, 752
sliced, 2.441536, 768
sliced, 2.464012, 784
sliced, 2.489624, 800
sliced, 2.444183, 816
sliced, 2.422012, 832
sliced, 2.474442, 848
sliced, 2.462196, 864
sliced, 2.479172, 880
sliced, 2.413857, 896
sliced, 2.455513, 912
sliced, 2.432404, 928
sliced, 2.457336, 944
sliced, 2.438446, 960
sliced, 2.463684, 976
sliced, 2.397751, 992
sliced, 2.434372, 1008
sliced, 2.469254, 1024
sliced, 2.478912, 1040
sliced, 2.453079, 1056
sliced, 2.489990, 1072
sliced, 2.491089, 1088
sliced, 2.496323, 1104
sliced, 2.520432, 1120
sliced, 2.493744, 1136
sliced, 2.524307, 1152
sliced, 2.517990, 1168
sliced, 2.476547, 1184
sliced, 2.490585, 1200
sliced, 2.532227, 1216
sliced, 2.452591, 1232
sliced, 2.523346, 1248
sliced, 2.544525, 1264
sliced, 2.529205, 1280
sliced, 2.512207, 1296
sliced, 2.514572, 1312
sliced, 2.498795, 1328
sliced, 2.521439, 1344
sliced, 2.525482, 1360
sliced, 2.594788, 1376
sliced, 2.555832, 1392
sliced, 2.410782, 1408
sliced, 2.566040, 1424
sliced, 2.578873, 1440
sliced, 2.545547, 1456
sliced, 2.548859, 1472
sliced, 2.590576, 1488
sliced, 2.605759, 1504
