array_type,time,element_size
base, 0.026001, 128, 549770476255
mono, 0.028874, 128, 549770476255
sliced, 0.041138, 128, 549770476255
SQ, 0.055918, 128, 549770476255
HAT, 0.036149, 128, 549770476255
MSarray_2, 0.049757, 128, 549770476255
MSarray_3, 0.046758, 128, 549770476255
MSarray_4, 0.053180, 128, 549770476255
base, 0.025499, 256, 549770476255
mono, 0.029659, 256, 549770476255
sliced, 0.058091, 256, 549770476255
SQ, 0.044420, 256, 549770476255
HAT, 0.038803, 256, 549770476255
MSarray_2, 0.051298, 256, 549770476255
MSarray_3, 0.048120, 256, 549770476255
MSarray_4, 0.060514, 256, 549770476255
base, 0.030336, 512, 549770476255
mono, 0.036498, 512, 549770476255
sliced, 0.045946, 512, 549770476255
SQ, 0.052404, 512, 549770476255
HAT, 0.041484, 512, 549770476255
MSarray_2, 0.060132, 512, 549770476255
MSarray_3, 0.059125, 512, 549770476255
MSarray_4, 0.086489, 512, 549770476255
base, 0.069971, 1024, 549770476255
mono, 0.051442, 1024, 549770476255
sliced, 0.054299, 1024, 549770476255
SQ, 0.071027, 1024, 549770476255
HAT, 0.063399, 1024, 549770476255
MSarray_2, 0.078723, 1024, 549770476255
MSarray_3, 0.096315, 1024, 549770476255
MSarray_4, 0.132001, 1024, 549770476255
base, 0.239061, 2048, 549770476255
mono, 0.091871, 2048, 549770476255
sliced, 0.072551, 2048, 549770476255
SQ, 0.078748, 2048, 549770476255
HAT, 0.075695, 2048, 549770476255
MSarray_2, 0.104326, 2048, 549770476255
MSarray_3, 0.141581, 2048, 549770476255
MSarray_4, 0.371939, 2048, 549770476255
base, 0.022611, 128, 549770476255
mono, 0.027860, 128, 549770476255
sliced, 0.035625, 128, 549770476255
SQ, 0.042327, 128, 549770476255
HAT, 0.032847, 128, 549770476255
MSarray_2, 0.046908, 128, 549770476255
MSarray_3, 0.047581, 128, 549770476255
MSarray_4, 0.052310, 128, 549770476255
base, 0.025345, 256, 549770476255
mono, 0.032516, 256, 549770476255
sliced, 0.040950, 256, 549770476255
SQ, 0.044173, 256, 549770476255
HAT, 0.035647, 256, 549770476255
MSarray_2, 0.051547, 256, 549770476255
MSarray_3, 0.048052, 256, 549770476255
MSarray_4, 0.057276, 256, 549770476255
base, 0.032552, 512, 549770476255
mono, 0.036179, 512, 549770476255
sliced, 0.045004, 512, 549770476255
SQ, 0.049808, 512, 549770476255
HAT, 0.041440, 512, 549770476255
MSarray_2, 0.061495, 512, 549770476255
MSarray_3, 0.060386, 512, 549770476255
MSarray_4, 0.079740, 512, 549770476255
base, 0.043106, 1024, 549770476255
mono, 0.047319, 1024, 549770476255
sliced, 0.054245, 1024, 549770476255
SQ, 0.058150, 1024, 549770476255
HAT, 0.052653, 1024, 549770476255
MSarray_2, 0.076300, 1024, 549770476255
MSarray_3, 0.102613, 1024, 549770476255
MSarray_4, 0.121153, 1024, 549770476255
base, 0.064514, 2048, 549770476255
mono, 0.060095, 2048, 549770476255
sliced, 0.069800, 2048, 549770476255
SQ, 0.080943, 2048, 549770476255
HAT, 0.075058, 2048, 549770476255
MSarray_2, 0.103402, 2048, 549770476255
MSarray_3, 0.142236, 2048, 549770476255
MSarray_4, 0.225839, 2048, 549770476255
base, 0.022667, 128, 549770476255
mono, 0.027561, 128, 549770476255
sliced, 0.036242, 128, 549770476255
SQ, 0.042385, 128, 549770476255
HAT, 0.032361, 128, 549770476255
MSarray_2, 0.046632, 128, 549770476255
MSarray_3, 0.046469, 128, 549770476255
MSarray_4, 0.051095, 128, 549770476255
base, 0.025001, 256, 549770476255
mono, 0.030536, 256, 549770476255
sliced, 0.038913, 256, 549770476255
SQ, 0.044604, 256, 549770476255
HAT, 0.035990, 256, 549770476255
MSarray_2, 0.051367, 256, 549770476255
MSarray_3, 0.048797, 256, 549770476255
MSarray_4, 0.057769, 256, 549770476255
base, 0.033053, 512, 549770476255
mono, 0.036213, 512, 549770476255
sliced, 0.044089, 512, 549770476255
SQ, 0.051351, 512, 549770476255
HAT, 0.041780, 512, 549770476255
MSarray_2, 0.059283, 512, 549770476255
MSarray_3, 0.060449, 512, 549770476255
MSarray_4, 0.083387, 512, 549770476255
base, 0.044435, 1024, 549770476255
mono, 0.043442, 1024, 549770476255
sliced, 0.056592, 1024, 549770476255
SQ, 0.057788, 1024, 549770476255
HAT, 0.051469, 1024, 549770476255
MSarray_2, 0.073622, 1024, 549770476255
MSarray_3, 0.094559, 1024, 549770476255
MSarray_4, 0.120549, 1024, 549770476255
base, 0.063792, 2048, 549770476255
mono, 0.058989, 2048, 549770476255
sliced, 0.070691, 2048, 549770476255
SQ, 0.080291, 2048, 549770476255
HAT, 0.071836, 2048, 549770476255
MSarray_2, 0.106981, 2048, 549770476255
MSarray_3, 0.142374, 2048, 549770476255
MSarray_4, 0.215257, 2048, 549770476255
base, 0.025178, 128, 549770476255
mono, 0.029097, 128, 549770476255
sliced, 0.035825, 128, 549770476255
SQ, 0.043767, 128, 549770476255
HAT, 0.033312, 128, 549770476255
MSarray_2, 0.047048, 128, 549770476255
MSarray_3, 0.046291, 128, 549770476255
MSarray_4, 0.051193, 128, 549770476255
base, 0.026533, 256, 549770476255
mono, 0.029084, 256, 549770476255
sliced, 0.039941, 256, 549770476255
SQ, 0.047275, 256, 549770476255
HAT, 0.035423, 256, 549770476255
MSarray_2, 0.051528, 256, 549770476255
MSarray_3, 0.049106, 256, 549770476255
MSarray_4, 0.057391, 256, 549770476255
base, 0.030785, 512, 549770476255
mono, 0.037843, 512, 549770476255
sliced, 0.044339, 512, 549770476255
SQ, 0.049645, 512, 549770476255
HAT, 0.042986, 512, 549770476255
MSarray_2, 0.064046, 512, 549770476255
MSarray_3, 0.059476, 512, 549770476255
MSarray_4, 0.079396, 512, 549770476255
base, 0.039224, 1024, 549770476255
mono, 0.047529, 1024, 549770476255
sliced, 0.051841, 1024, 549770476255
SQ, 0.059374, 1024, 549770476255
HAT, 0.051908, 1024, 549770476255
MSarray_2, 0.074522, 1024, 549770476255
MSarray_3, 0.094784, 1024, 549770476255
MSarray_4, 0.115412, 1024, 549770476255
base, 0.063484, 2048, 549770476255
mono, 0.059107, 2048, 549770476255
sliced, 0.080060, 2048, 549770476255
SQ, 0.077948, 2048, 549770476255
HAT, 0.074602, 2048, 549770476255
MSarray_2, 0.106296, 2048, 549770476255
MSarray_3, 0.139393, 2048, 549770476255
MSarray_4, 0.215772, 2048, 549770476255
base, 0.022641, 128, 549770476255
mono, 0.027336, 128, 549770476255
sliced, 0.035738, 128, 549770476255
SQ, 0.041807, 128, 549770476255
HAT, 0.033474, 128, 549770476255
MSarray_2, 0.046933, 128, 549770476255
