array_type,time,element_size
base, 0.000983, 16
mono, 0.002158, 16
sliced, 0.002814, 16
SQ, 0.003737, 16
HAT, 0.003057, 16
MSarray_2, 0.004702, 16
MSarray_3, 0.006661, 16
MSarray_4, 0.006982, 16
base, 0.001998, 32
mono, 0.002664, 32
sliced, 0.002984, 32
SQ, 0.003758, 32
HAT, 0.003469, 32
MSarray_2, 0.004600, 32
MSarray_3, 0.006296, 32
MSarray_4, 0.006351, 32
base, 0.002740, 48
mono, 0.003129, 48
sliced, 0.003962, 48
SQ, 0.004062, 48
HAT, 0.004521, 48
MSarray_2, 0.005075, 48
MSarray_3, 0.006168, 48
MSarray_4, 0.005824, 48
base, 0.003732, 64
mono, 0.004720, 64
sliced, 0.005160, 64
SQ, 0.005800, 64
HAT, 0.006138, 64
MSarray_2, 0.006569, 64
MSarray_3, 0.007136, 64
MSarray_4, 0.006414, 64
base, 0.004586, 80
mono, 0.005721, 80
sliced, 0.006088, 80
SQ, 0.006869, 80
HAT, 0.007003, 80
MSarray_2, 0.007369, 80
MSarray_3, 0.007993, 80
MSarray_4, 0.009839, 80
base, 0.004773, 96
mono, 0.006550, 96
sliced, 0.006982, 96
SQ, 0.007273, 96
HAT, 0.007383, 96
MSarray_2, 0.007941, 96
MSarray_3, 0.008243, 96
MSarray_4, 0.011207, 96
base, 0.005562, 112
mono, 0.007076, 112
sliced, 0.007473, 112
SQ, 0.007810, 112
HAT, 0.008285, 112
MSarray_2, 0.008334, 112
MSarray_3, 0.008974, 112
MSarray_4, 0.012473, 112
base, 0.006309, 128
mono, 0.007374, 128
sliced, 0.008307, 128
SQ, 0.008212, 128
HAT, 0.009456, 128
MSarray_2, 0.009195, 128
MSarray_3, 0.009913, 128
MSarray_4, 0.014019, 128
base, 0.006453, 144
mono, 0.008040, 144
sliced, 0.008325, 144
SQ, 0.012408, 144
HAT, 0.009902, 144
MSarray_2, 0.009847, 144
MSarray_3, 0.010499, 144
MSarray_4, 0.015410, 144
base, 0.007563, 160
mono, 0.008542, 160
sliced, 0.008945, 160
SQ, 0.009688, 160
HAT, 0.010369, 160
MSarray_2, 0.010456, 160
MSarray_3, 0.011241, 160
MSarray_4, 0.016198, 160
base, 0.008303, 176
mono, 0.008974, 176
sliced, 0.009635, 176
SQ, 0.009858, 176
HAT, 0.010985, 176
MSarray_2, 0.011128, 176
MSarray_3, 0.011981, 176
MSarray_4, 0.017702, 176
base, 0.008838, 192
mono, 0.009452, 192
sliced, 0.010141, 192
SQ, 0.010539, 192
HAT, 0.011775, 192
MSarray_2, 0.011872, 192
MSarray_3, 0.012902, 192
MSarray_4, 0.019123, 192
base, 0.009273, 208
mono, 0.010063, 208
sliced, 0.010927, 208
SQ, 0.011430, 208
HAT, 0.012642, 208
MSarray_2, 0.012617, 208
MSarray_3, 0.013684, 208
MSarray_4, 0.020471, 208
base, 0.009655, 224
mono, 0.010581, 224
sliced, 0.011336, 224
SQ, 0.011762, 224
HAT, 0.013287, 224
MSarray_2, 0.013410, 224
MSarray_3, 0.014443, 224
MSarray_4, 0.021557, 224
base, 0.010419, 240
mono, 0.011386, 240
sliced, 0.012111, 240
SQ, 0.013014, 240
HAT, 0.014165, 240
MSarray_2, 0.014498, 240
MSarray_3, 0.015310, 240
MSarray_4, 0.023254, 240
base, 0.011060, 256
mono, 0.012088, 256
sliced, 0.013055, 256
SQ, 0.013724, 256
HAT, 0.014907, 256
MSarray_2, 0.015064, 256
MSarray_3, 0.015981, 256
MSarray_4, 0.021661, 256
base, 0.013641, 272
mono, 0.015090, 272
sliced, 0.015282, 272
SQ, 0.016233, 272
HAT, 0.016687, 272
MSarray_2, 0.017535, 272
MSarray_3, 0.018948, 272
MSarray_4, 0.024983, 272
base, 0.014157, 288
mono, 0.015245, 288
sliced, 0.016066, 288
SQ, 0.016428, 288
HAT, 0.016894, 288
MSarray_2, 0.017757, 288
MSarray_3, 0.018923, 288
MSarray_4, 0.025247, 288
base, 0.015077, 304
mono, 0.016343, 304
sliced, 0.016874, 304
SQ, 0.017723, 304
HAT, 0.018077, 304
MSarray_2, 0.018857, 304
MSarray_3, 0.020025, 304
MSarray_4, 0.026666, 304
base, 0.015486, 320
mono, 0.016428, 320
sliced, 0.017501, 320
SQ, 0.017835, 320
HAT, 0.018246, 320
MSarray_2, 0.019125, 320
MSarray_3, 0.020190, 320
MSarray_4, 0.027123, 320
base, 0.016410, 336
mono, 0.017652, 336
sliced, 0.018366, 336
SQ, 0.019299, 336
HAT, 0.019607, 336
MSarray_2, 0.020240, 336
MSarray_3, 0.021399, 336
MSarray_4, 0.028767, 336
base, 0.017020, 352
mono, 0.018063, 352
sliced, 0.018870, 352
SQ, 0.019381, 352
HAT, 0.019739, 352
MSarray_2, 0.020484, 352
MSarray_3, 0.021751, 352
MSarray_4, 0.029270, 352
base, 0.017674, 368
mono, 0.018969, 368
sliced, 0.019545, 368
SQ, 0.020548, 368
HAT, 0.021155, 368
MSarray_2, 0.021566, 368
MSarray_3, 0.022662, 368
MSarray_4, 0.030727, 368
base, 0.017906, 384
mono, 0.018951, 384
sliced, 0.020177, 384
SQ, 0.020504, 384
HAT, 0.021372, 384
MSarray_2, 0.021923, 384
MSarray_3, 0.023011, 384
MSarray_4, 0.031371, 384
base, 0.018888, 400
mono, 0.020195, 400
sliced, 0.021152, 400
SQ, 0.021871, 400
HAT, 0.022441, 400
MSarray_2, 0.023004, 400
MSarray_3, 0.023921, 400
MSarray_4, 0.029699, 400
base, 0.019321, 416
mono, 0.020596, 416
sliced, 0.021563, 416
SQ, 0.022229, 416
HAT, 0.022683, 416
MSarray_2, 0.023321, 416
MSarray_3, 0.024097, 416
MSarray_4, 0.034224, 416
base, 0.020114, 432
mono, 0.021669, 432
sliced, 0.022556, 432
SQ, 0.023316, 432
HAT, 0.024190, 432
MSarray_2, 0.024474, 432
MSarray_3, 0.025179, 432
MSarray_4, 0.036868, 432
base, 0.020905, 448
mono, 0.022111, 448
sliced, 0.022963, 448
SQ, 0.023237, 448
HAT, 0.024589, 448
MSarray_2, 0.024718, 448
MSarray_3, 0.025378, 448
MSarray_4, 0.037587, 448
base, 0.021507, 464
mono, 0.022828, 464
sliced, 0.023782, 464
SQ, 0.024428, 464
HAT, 0.025634, 464
MSarray_2, 0.025506, 464
MSarray_3, 0.026165, 464
MSarray_4, 0.040274, 464
base, 0.022060, 480
mono, 0.023501, 480
sliced, 0.024318, 480
SQ, 0.024628, 480
HAT, 0.025676, 480
MSarray_2, 0.026049, 480
MSarray_3, 0.026575, 480
MSarray_4, 0.041719, 480
base, 0.022925, 496
mono, 0.024121, 496
sliced, 0.024796, 496
SQ, 0.025610, 496
HAT, 0.027175, 496
MSarray_2, 0.026640, 496
MSarray_3, 0.027356, 496
MSarray_4, 0.044376, 496
base, 0.023365, 512
mono, 0.024021, 512
sliced, 0.024823, 512
SQ, 0.024796, 512
HAT, 0.026121, 512
MSarray_2, 0.026469, 512
MSarray_3, 0.027053, 512
MSarray_4, 0.045226, 512
base, 0.024027, 528
mono, 0.025716, 528
sliced, 0.026849, 528
SQ, 0.027015, 528
HAT, 0.028630, 528
MSarray_2, 0.028016, 528
MSarray_3, 0.039906, 528
MSarray_4, 0.049537, 528
base, 0.024911, 544
mono, 0.026125, 544
sliced, 0.027043, 544
SQ, 0.027374, 544
HAT, 0.028671, 544
MSarray_2, 0.028623, 544
MSarray_3, 0.040069, 544
MSarray_4, 0.050935, 544
base, 0.025762, 560
mono, 0.027525, 560
sliced, 0.027997, 560
SQ, 0.028441, 560
HAT, 0.029852, 560
MSarray_2, 0.029319, 560
MSarray_3, 0.042401, 560
MSarray_4, 0.053050, 560
base, 0.026750, 576
mono, 0.027333, 576
sliced, 0.028155, 576
SQ, 0.028435, 576
HAT, 0.029913, 576
MSarray_2, 0.029740, 576
MSarray_3, 0.043367, 576
MSarray_4, 0.054040, 576
base, 0.027321, 592
mono, 0.028099, 592
sliced, 0.029370, 592
SQ, 0.029670, 592
HAT, 0.031461, 592
MSarray_2, 0.031163, 592
MSarray_3, 0.044683, 592
MSarray_4, 0.055563, 592
base, 0.027782, 608
mono, 0.028967, 608
sliced, 0.029891, 608
SQ, 0.030074, 608
HAT, 0.031666, 608
MSarray_2, 0.031171, 608
MSarray_3, 0.046013, 608
MSarray_4, 0.058334, 608
base, 0.029465, 624
mono, 0.030150, 624
sliced, 0.031552, 624
SQ, 0.031749, 624
HAT, 0.033577, 624
MSarray_2, 0.032386, 624
MSarray_3, 0.048595, 624
MSarray_4, 0.060126, 624
base, 0.029701, 640
mono, 0.030819, 640
sliced, 0.031747, 640
SQ, 0.032079, 640
HAT, 0.033825, 640
MSarray_2, 0.032262, 640
MSarray_3, 0.048508, 640
MSarray_4, 0.061284, 640
base, 0.030942, 656
mono, 0.031642, 656
sliced, 0.033214, 656
SQ, 0.033078, 656
HAT, 0.034613, 656
MSarray_2, 0.033643, 656
MSarray_3, 0.051125, 656
MSarray_4, 0.058955, 656
base, 0.031879, 672
mono, 0.032825, 672
sliced, 0.033457, 672
SQ, 0.033828, 672
HAT, 0.035685, 672
MSarray_2, 0.033705, 672
MSarray_3, 0.051838, 672
MSarray_4, 0.062836, 672
base, 0.033194, 688
mono, 0.034322, 688
sliced, 0.035695, 688
SQ, 0.035905, 688
HAT, 0.037624, 688
MSarray_2, 0.035333, 688
MSarray_3, 0.054223, 688
MSarray_4, 0.064568, 688
base, 0.033750, 704
mono, 0.034966, 704
sliced, 0.035842, 704
SQ, 0.036271, 704
HAT, 0.037702, 704
MSarray_2, 0.035037, 704
MSarray_3, 0.055352, 704
MSarray_4, 0.063495, 704
base, 0.035741, 720
mono, 0.036099, 720
sliced, 0.037468, 720
SQ, 0.037938, 720
HAT, 0.039467, 720
MSarray_2, 0.036985, 720
MSarray_3, 0.057330, 720
MSarray_4, 0.067429, 720
base, 0.036364, 736
mono, 0.036572, 736
sliced, 0.037497, 736
SQ, 0.038142, 736
HAT, 0.039166, 736
MSarray_2, 0.036203, 736
MSarray_3, 0.057802, 736
MSarray_4, 0.068848, 736
base, 0.037487, 752
mono, 0.038297, 752
sliced, 0.039502, 752
SQ, 0.039909, 752
HAT, 0.041712, 752
MSarray_2, 0.037616, 752
MSarray_3, 0.062085, 752
MSarray_4, 0.071086, 752
base, 0.038338, 768
mono, 0.038604, 768
sliced, 0.039257, 768
SQ, 0.039638, 768
HAT, 0.041024, 768
MSarray_2, 0.037423, 768
MSarray_3, 0.060759, 768
MSarray_4, 0.071481, 768
base, 0.039981, 784
mono, 0.040570, 784
sliced, 0.041787, 784
SQ, 0.042503, 784
HAT, 0.043682, 784
MSarray_2, 0.039991, 784
MSarray_3, 0.063100, 784
MSarray_4, 0.074099, 784
base, 0.040541, 800
mono, 0.041315, 800
