array_type,time,element_size
base, 0.106438, 16
mono, 0.187536, 16
sliced, 0.216097, 16
SQ, 0.246984, 16
HAT, 0.220556, 16
MSarray_2, 0.326365, 16
MSarray_3, 0.347782, 16
MSarray_4, 0.325041, 16
base, 0.113694, 32
mono, 0.190687, 32
sliced, 0.217488, 32
SQ, 0.254383, 32
HAT, 0.224972, 32
MSarray_2, 0.333628, 32
MSarray_3, 0.352883, 32
MSarray_4, 0.333886, 32
base, 0.133003, 48
mono, 0.201292, 48
sliced, 0.230792, 48
SQ, 0.259759, 48
HAT, 0.233992, 48
MSarray_2, 0.347058, 48
MSarray_3, 0.374174, 48
MSarray_4, 0.347725, 48
base, 0.148461, 64
mono, 0.212841, 64
sliced, 0.242444, 64
SQ, 0.272574, 64
HAT, 0.251969, 64
MSarray_2, 0.365004, 64
MSarray_3, 0.389723, 64
MSarray_4, 0.362530, 64
base, 0.166409, 80
mono, 0.237361, 80
sliced, 0.275333, 80
SQ, 0.294968, 80
HAT, 0.278408, 80
MSarray_2, 0.391430, 80
MSarray_3, 0.418414, 80
MSarray_4, 0.393799, 80
base, 0.181507, 96
mono, 0.251993, 96
sliced, 0.287292, 96
SQ, 0.309145, 96
HAT, 0.297014, 96
MSarray_2, 0.419543, 96
MSarray_3, 0.445071, 96
MSarray_4, 0.421534, 96
base, 0.195875, 112
mono, 0.266959, 112
sliced, 0.302170, 112
SQ, 0.323036, 112
HAT, 0.309400, 112
MSarray_2, 0.460836, 112
MSarray_3, 0.490690, 112
MSarray_4, 0.465651, 112
base, 0.210195, 128
mono, 0.285640, 128
sliced, 0.317757, 128
SQ, 0.337050, 128
HAT, 0.328480, 128
MSarray_2, 0.479731, 128
MSarray_3, 0.518315, 128
MSarray_4, 0.486504, 128
base, 0.225409, 144
mono, 0.293748, 144
sliced, 0.328729, 144
SQ, 0.350128, 144
HAT, 0.335595, 144
MSarray_2, 0.495862, 144
MSarray_3, 0.527298, 144
MSarray_4, 0.502699, 144
base, 0.247809, 160
mono, 0.314179, 160
sliced, 0.349042, 160
SQ, 0.370576, 160
HAT, 0.359072, 160
MSarray_2, 0.518873, 160
MSarray_3, 0.559080, 160
MSarray_4, 0.527183, 160
base, 0.264596, 176
mono, 0.328449, 176
sliced, 0.363133, 176
SQ, 0.385736, 176
HAT, 0.370727, 176
MSarray_2, 0.535186, 176
MSarray_3, 0.576897, 176
MSarray_4, 0.543405, 176
base, 0.281614, 192
mono, 0.345346, 192
sliced, 0.377992, 192
SQ, 0.403308, 192
HAT, 0.384827, 192
MSarray_2, 0.556880, 192
MSarray_3, 0.593603, 192
MSarray_4, 0.567751, 192
base, 0.296987, 208
mono, 0.359014, 208
sliced, 0.393162, 208
SQ, 0.420348, 208
HAT, 0.401172, 208
MSarray_2, 0.576084, 208
MSarray_3, 0.620195, 208
MSarray_4, 0.586290, 208
base, 0.318395, 224
mono, 0.378724, 224
sliced, 0.411589, 224
SQ, 0.440549, 224
HAT, 0.420030, 224
MSarray_2, 0.594510, 224
MSarray_3, 0.642941, 224
MSarray_4, 0.607136, 224
base, 0.331603, 240
mono, 0.390949, 240
sliced, 0.424125, 240
SQ, 0.606596, 240
HAT, 0.432625, 240
MSarray_2, 0.610716, 240
MSarray_3, 0.657692, 240
MSarray_4, 0.623964, 240
base, 0.345942, 256
mono, 0.409587, 256
sliced, 0.442686, 256
SQ, 0.470201, 256
HAT, 0.450451, 256
MSarray_2, 0.626909, 256
MSarray_3, 0.674347, 256
MSarray_4, 0.641076, 256
base, 0.430333, 272
mono, 0.509973, 272
sliced, 0.545205, 272
SQ, 0.572030, 272
HAT, 0.550379, 272
MSarray_2, 0.667696, 272
MSarray_3, 0.707316, 272
MSarray_4, 0.679137, 272
base, 0.438975, 288
mono, 0.514992, 288
sliced, 0.557334, 288
SQ, 0.573440, 288
HAT, 0.550674, 288
MSarray_2, 0.670888, 288
MSarray_3, 0.714787, 288
MSarray_4, 0.684730, 288
base, 0.456919, 304
mono, 0.541403, 304
sliced, 0.576116, 304
SQ, 0.604207, 304
HAT, 0.579702, 304
MSarray_2, 0.699141, 304
MSarray_3, 0.738924, 304
MSarray_4, 0.710031, 304
base, 0.468280, 320
mono, 0.542823, 320
sliced, 0.585095, 320
SQ, 0.603957, 320
HAT, 0.581423, 320
MSarray_2, 0.698559, 320
MSarray_3, 0.742684, 320
MSarray_4, 0.715135, 320
base, 0.486903, 336
mono, 0.570996, 336
sliced, 0.608166, 336
SQ, 0.635369, 336
HAT, 0.615940, 336
MSarray_2, 0.729232, 336
MSarray_3, 0.804110, 336
MSarray_4, 0.743736, 336
base, 0.500221, 352
mono, 0.575276, 352
sliced, 0.628119, 352
SQ, 0.636282, 352
HAT, 0.615099, 352
MSarray_2, 0.732949, 352
MSarray_3, 0.775437, 352
MSarray_4, 0.755401, 352
base, 0.520893, 368
mono, 0.605139, 368
sliced, 0.643342, 368
SQ, 0.671191, 368
HAT, 0.653263, 368
MSarray_2, 0.763492, 368
MSarray_3, 0.805634, 368
MSarray_4, 0.782123, 368
base, 0.542765, 384
mono, 0.614115, 384
sliced, 0.659184, 384
SQ, 0.675221, 384
HAT, 0.661038, 384
MSarray_2, 0.772939, 384
MSarray_3, 0.813916, 384
MSarray_4, 0.793079, 384
base, 0.560183, 400
mono, 0.642870, 400
sliced, 0.680679, 400
SQ, 0.711188, 400
HAT, 0.691452, 400
MSarray_2, 0.804355, 400
MSarray_3, 0.846275, 400
MSarray_4, 0.821120, 400
base, 0.575358, 416
mono, 0.649297, 416
sliced, 0.690394, 416
SQ, 0.707086, 416
HAT, 0.688401, 416
MSarray_2, 0.811026, 416
MSarray_3, 0.850857, 416
MSarray_4, 0.828229, 416
base, 0.593439, 432
mono, 0.675127, 432
sliced, 0.718770, 432
SQ, 0.746336, 432
HAT, 0.724424, 432
MSarray_2, 0.838825, 432
MSarray_3, 0.883198, 432
MSarray_4, 0.860853, 432
base, 0.605225, 448
mono, 0.680321, 448
sliced, 0.726816, 448
SQ, 0.739221, 448
HAT, 0.724353, 448
MSarray_2, 0.844651, 448
MSarray_3, 0.889638, 448
MSarray_4, 0.873936, 448
base, 0.625183, 464
mono, 0.707607, 464
sliced, 0.752449, 464
SQ, 0.773060, 464
HAT, 0.758670, 464
MSarray_2, 0.873880, 464
MSarray_3, 0.914373, 464
MSarray_4, 0.899545, 464
base, 0.658061, 480
mono, 0.720414, 480
sliced, 0.757155, 480
SQ, 0.782738, 480
HAT, 0.770693, 480
MSarray_2, 0.888375, 480
MSarray_3, 0.932629, 480
MSarray_4, 0.916553, 480
base, 0.673437, 496
mono, 0.744092, 496
sliced, 0.790410, 496
SQ, 0.807153, 496
HAT, 0.795997, 496
MSarray_2, 0.910347, 496
MSarray_3, 0.958237, 496
MSarray_4, 0.939034, 496
base, 0.683438, 512
mono, 0.753235, 512
sliced, 0.792961, 512
SQ, 0.804076, 512
HAT, 0.796269, 512
MSarray_2, 0.919950, 512
MSarray_3, 0.965730, 512
MSarray_4, 0.949200, 512
base, 0.701400, 528
mono, 0.781044, 528
sliced, 0.822301, 528
SQ, 0.847147, 528
HAT, 0.835397, 528
MSarray_2, 0.949748, 528
MSarray_3, 1.000069, 528
MSarray_4, 0.978310, 528
base, 0.719317, 544
mono, 0.792695, 544
sliced, 0.820567, 544
SQ, 0.856112, 544
HAT, 0.835075, 544
MSarray_2, 0.977783, 544
MSarray_3, 1.016636, 544
MSarray_4, 0.996310, 544
base, 0.755140, 560
mono, 0.815784, 560
sliced, 0.857064, 560
SQ, 0.880842, 560
HAT, 0.868768, 560
MSarray_2, 0.988101, 560
MSarray_3, 1.041721, 560
MSarray_4, 1.020886, 560
base, 0.752167, 576
mono, 0.828773, 576
sliced, 0.859481, 576
SQ, 0.892279, 576
HAT, 0.875072, 576
MSarray_2, 1.004367, 576
MSarray_3, 1.059665, 576
MSarray_4, 1.037857, 576
base, 0.774710, 592
mono, 0.853042, 592
sliced, 0.899066, 592
SQ, 0.920364, 592
HAT, 0.902877, 592
MSarray_2, 1.023954, 592
MSarray_3, 1.081279, 592
MSarray_4, 1.062983, 592
base, 0.792310, 608
mono, 0.871974, 608
sliced, 0.899391, 608
SQ, 0.928929, 608
HAT, 0.914517, 608
MSarray_2, 1.043890, 608
MSarray_3, 1.097821, 608
MSarray_4, 1.077883, 608
base, 0.815250, 624
mono, 0.891344, 624
sliced, 0.932475, 624
SQ, 0.954308, 624
HAT, 0.944023, 624
MSarray_2, 1.062314, 624
MSarray_3, 1.120520, 624
MSarray_4, 1.101546, 624
base, 0.825344, 640
mono, 0.896862, 640
sliced, 0.943316, 640
SQ, 0.959261, 640
HAT, 0.939810, 640
MSarray_2, 1.068498, 640
MSarray_3, 1.127173, 640
MSarray_4, 1.108705, 640
base, 0.852416, 656
mono, 0.925133, 656
sliced, 0.971577, 656
SQ, 0.994741, 656
HAT, 0.978507, 656
MSarray_2, 1.100587, 656
MSarray_3, 1.159343, 656
MSarray_4, 1.140254, 656
base, 0.877418, 672
mono, 0.935098, 672
sliced, 0.976554, 672
SQ, 0.996505, 672
HAT, 0.994966, 672
MSarray_2, 1.108161, 672
MSarray_3, 1.167720, 672
MSarray_4, 1.151878, 672
base, 0.895978, 688
mono, 0.967553, 688
sliced, 1.013693, 688
SQ, 1.034119, 688
HAT, 1.014529, 688
MSarray_2, 1.139985, 688
MSarray_3, 1.205560, 688
MSarray_4, 1.181417, 688
base, 0.904453, 704
mono, 0.979768, 704
sliced, 1.019160, 704
SQ, 1.029095, 704
HAT, 1.018574, 704
MSarray_2, 1.143630, 704
MSarray_3, 1.206073, 704
MSarray_4, 1.187049, 704
base, 0.931163, 720
mono, 1.000778, 720
sliced, 1.042465, 720
SQ, 1.064787, 720
HAT, 1.052248, 720
MSarray_2, 1.169209, 720
MSarray_3, 1.246851, 720
MSarray_4, 1.216851, 720
base, 0.940614, 736
mono, 1.007815, 736
sliced, 1.081707, 736
SQ, 1.186594, 736
HAT, 1.056838, 736
MSarray_2, 1.175166, 736
MSarray_3, 1.240819, 736
MSarray_4, 1.229304, 736
base, 0.975218, 752
mono, 1.040172, 752
sliced, 1.083667, 752
SQ, 1.100963, 752
HAT, 1.086502, 752
MSarray_2, 1.204239, 752
MSarray_3, 1.286724, 752
MSarray_4, 1.260792, 752
base, 0.994558, 768
mono, 1.058845, 768
sliced, 1.098781, 768
SQ, 1.106171, 768
HAT, 1.094746, 768
MSarray_2, 1.227003, 768
MSarray_3, 1.283367, 768
MSarray_4, 1.275163, 768
base, 1.022453, 784
mono, 1.078808, 784
sliced, 1.129200, 784
SQ, 1.145824, 784
HAT, 1.134222, 784
MSarray_2, 1.251353, 784
MSarray_3, 1.307553, 784
MSarray_4, 1.293798, 784
base, 1.033761, 800
mono, 1.087986, 800
sliced, 1.125464, 800
SQ, 1.167294, 800
HAT, 1.125605, 800
MSarray_2, 1.247932, 800
MSarray_3, 1.316015, 800
MSarray_4, 1.306788, 800
base, 1.060760, 816
mono, 1.139765, 816
sliced, 1.148968, 816
SQ, 1.187715, 816
HAT, 1.177487, 816
MSarray_2, 1.282065, 816
MSarray_3, 1.351641, 816
MSarray_4, 1.337406, 816
base, 1.060191, 832
mono, 1.126079, 832
sliced, 1.193955, 832
SQ, 1.180451, 832
HAT, 1.168717, 832
MSarray_2, 1.295880, 832
MSarray_3, 1.358235, 832
MSarray_4, 1.343791, 832
base, 1.105721, 848
mono, 1.168135, 848
sliced, 1.187713, 848
SQ, 1.339000, 848
HAT, 1.208088, 848
MSarray_2, 1.320273, 848
MSarray_3, 1.386900, 848
MSarray_4, 1.373621, 848
base, 1.111285, 864
mono, 1.165657, 864
sliced, 1.212763, 864
SQ, 1.220045, 864
HAT, 1.220165, 864
MSarray_2, 1.331281, 864
MSarray_3, 1.394884, 864
MSarray_4, 1.383906, 864
base, 1.137037, 880
mono, 1.198256, 880
sliced, 1.230250, 880
SQ, 1.252183, 880
HAT, 1.246782, 880
MSarray_2, 1.369355, 880
MSarray_3, 1.430571, 880
MSarray_4, 1.434447, 880
base, 1.146064, 896
mono, 1.208684, 896
sliced, 1.252531, 896
SQ, 1.269641, 896
HAT, 1.249317, 896
MSarray_2, 1.379508, 896
MSarray_3, 1.443129, 896
MSarray_4, 1.429900, 896
base, 1.175020, 912
mono, 1.244311, 912
sliced, 1.266684, 912
SQ, 1.309582, 912
HAT, 1.287396, 912
MSarray_2, 1.405434, 912
MSarray_3, 1.469292, 912
MSarray_4, 1.460136, 912
base, 1.184893, 928
mono, 1.237544, 928
sliced, 1.299185, 928
SQ, 1.308980, 928
HAT, 1.283397, 928
MSarray_2, 1.431948, 928
MSarray_3, 1.475828, 928
MSarray_4, 1.468637, 928
base, 1.217835, 944
mono, 1.285939, 944
sliced, 1.326537, 944
SQ, 1.345167, 944
HAT, 1.326292, 944
MSarray_2, 1.463163, 944
MSarray_3, 1.503828, 944
MSarray_4, 1.495961, 944
base, 1.224312, 960
mono, 1.296302, 960
sliced, 1.346848, 960
SQ, 1.337375, 960
HAT, 1.327932, 960
MSarray_2, 1.469677, 960
MSarray_3, 1.512411, 960
MSarray_4, 1.509463, 960
base, 1.259602, 976
mono, 1.316009, 976
sliced, 1.378001, 976
SQ, 1.379372, 976
HAT, 1.364217, 976
MSarray_2, 1.481952, 976
MSarray_3, 1.546067, 976
MSarray_4, 1.538851, 976
base, 1.272023, 992
mono, 1.323884, 992
sliced, 1.376641, 992
SQ, 1.380916, 992
HAT, 1.355286, 992
MSarray_2, 1.474980, 992
MSarray_3, 1.550297, 992
MSarray_4, 1.540053, 992
base, 1.302381, 1008
mono, 1.362429, 1008
sliced, 1.381721, 1008
SQ, 1.414504, 1008
HAT, 1.404446, 1008
MSarray_2, 1.524213, 1008
MSarray_3, 1.587460, 1008
MSarray_4, 1.580335, 1008
base, 1.303603, 1024
mono, 1.360919, 1024
sliced, 1.404528, 1024
SQ, 1.414857, 1024
HAT, 1.429409, 1024
MSarray_2, 1.526544, 1024
MSarray_3, 1.591913, 1024
MSarray_4, 1.592360, 1024
base, 1.341964, 1040
mono, 1.414457, 1040
sliced, 1.444522, 1040
SQ, 1.473188, 1040
HAT, 1.447029, 1040
MSarray_2, 1.562720, 1040
MSarray_3, 1.644117, 1040
MSarray_4, 1.621207, 1040
base, 1.357083, 1056
mono, 1.410222, 1056
sliced, 1.459739, 1056
SQ, 1.461097, 1056
HAT, 1.446141, 1056
MSarray_2, 1.580788, 1056
MSarray_3, 1.637353, 1056
MSarray_4, 1.636070, 1056
base, 1.379438, 1072
mono, 1.448951, 1072
sliced, 1.472659, 1072
SQ, 1.510201, 1072
HAT, 1.486172, 1072
MSarray_2, 1.606737, 1072
MSarray_3, 1.663688, 1072
MSarray_4, 1.667200, 1072
base, 1.379498, 1088
mono, 1.443854, 1088
sliced, 1.479018, 1088
SQ, 1.498602, 1088
HAT, 1.490396, 1088
MSarray_2, 1.607126, 1088
MSarray_3, 1.688299, 1088
MSarray_4, 1.673324, 1088
base, 1.417112, 1104
mono, 1.493744, 1104
sliced, 1.517457, 1104
SQ, 1.553286, 1104
HAT, 1.524120, 1104
MSarray_2, 1.635386, 1104
MSarray_3, 1.715458, 1104
MSarray_4, 1.705323, 1104
base, 1.415914, 1120
mono, 1.503710, 1120
sliced, 1.529521, 1120
SQ, 1.545625, 1120
HAT, 1.526288, 1120
MSarray_2, 1.650286, 1120
MSarray_3, 1.707536, 1120
MSarray_4, 1.713882, 1120
base, 1.451607, 1136
mono, 1.518979, 1136
sliced, 1.571318, 1136
SQ, 1.583055, 1136
HAT, 1.568684, 1136
MSarray_2, 1.682738, 1136
MSarray_3, 1.756296, 1136
MSarray_4, 1.763704, 1136
base, 1.515226, 1152
mono, 1.528730, 1152
sliced, 1.585834, 1152
SQ, 1.587897, 1152
HAT, 1.561859, 1152
MSarray_2, 1.696301, 1152
MSarray_3, 1.758351, 1152
MSarray_4, 1.755191, 1152
base, 1.506274, 1168
mono, 1.580862, 1168
sliced, 1.608407, 1168
SQ, 1.641841, 1168
HAT, 1.609760, 1168
MSarray_2, 1.723484, 1168
MSarray_3, 1.797018, 1168
MSarray_4, 1.806716, 1168
base, 1.521162, 1184
mono, 1.589338, 1184
sliced, 1.621212, 1184
SQ, 1.640788, 1184
HAT, 1.615584, 1184
MSarray_2, 1.738263, 1184
MSarray_3, 1.830070, 1184
MSarray_4, 1.813733, 1184
base, 1.548672, 1200
mono, 1.620596, 1200
sliced, 1.658238, 1200
SQ, 1.673502, 1200
HAT, 1.659376, 1200
MSarray_2, 1.805381, 1200
MSarray_3, 1.842909, 1200
MSarray_4, 1.873722, 1200
base, 1.559208, 1216
mono, 1.650566, 1216
sliced, 1.663169, 1216
SQ, 1.671031, 1216
HAT, 1.656658, 1216
MSarray_2, 1.774799, 1216
MSarray_3, 1.856351, 1216
MSarray_4, 1.859915, 1216
base, 1.595338, 1232
mono, 1.657529, 1232
sliced, 1.711864, 1232
SQ, 1.719736, 1232
HAT, 1.704867, 1232
MSarray_2, 1.814597, 1232
MSarray_3, 1.887054, 1232
MSarray_4, 1.892881, 1232
base, 1.607570, 1248
mono, 1.678682, 1248
sliced, 1.703607, 1248
SQ, 1.729351, 1248
HAT, 1.698870, 1248
MSarray_2, 1.822663, 1248
MSarray_3, 1.887906, 1248
MSarray_4, 1.901163, 1248
base, 1.647591, 1264
mono, 1.715041, 1264
sliced, 1.741405, 1264
SQ, 1.764766, 1264
HAT, 1.750625, 1264
MSarray_2, 1.861337, 1264
MSarray_3, 1.937586, 1264
MSarray_4, 1.930362, 1264
base, 1.655923, 1280
mono, 1.713281, 1280
sliced, 1.758020, 1280
SQ, 1.760311, 1280
HAT, 1.748572, 1280
MSarray_2, 1.868718, 1280
MSarray_3, 1.909068, 1280
MSarray_4, 1.950655, 1280
base, 1.676420, 1296
mono, 1.752804, 1296
sliced, 1.775206, 1296
SQ, 1.819072, 1296
HAT, 1.781020, 1296
MSarray_2, 1.899983, 1296
MSarray_3, 1.973075, 1296
MSarray_4, 1.978405, 1296
base, 1.688344, 1312
mono, 1.767976, 1312
sliced, 1.797501, 1312
SQ, 1.813075, 1312
HAT, 1.787458, 1312
MSarray_2, 1.907250, 1312
MSarray_3, 1.982856, 1312
MSarray_4, 1.987901, 1312
base, 1.717122, 1328
mono, 1.822831, 1328
sliced, 1.821755, 1328
SQ, 1.842908, 1328
HAT, 1.828518, 1328
MSarray_2, 1.934840, 1328
MSarray_3, 2.015025, 1328
MSarray_4, 2.021438, 1328
base, 1.730712, 1344
mono, 1.795591, 1344
sliced, 1.827707, 1344
SQ, 1.846993, 1344
HAT, 1.842136, 1344
MSarray_2, 1.941198, 1344
MSarray_3, 2.024780, 1344
MSarray_4, 2.031125, 1344
base, 1.759353, 1360
mono, 1.837066, 1360
sliced, 1.882181, 1360
SQ, 1.889795, 1360
HAT, 1.879308, 1360
MSarray_2, 1.979534, 1360
MSarray_3, 2.065368, 1360
MSarray_4, 2.070174, 1360
base, 1.761517, 1376
mono, 1.839044, 1376
sliced, 1.874319, 1376
SQ, 1.881989, 1376
HAT, 1.872171, 1376
MSarray_2, 1.988832, 1376
MSarray_3, 2.066300, 1376
MSarray_4, 2.077256, 1376
base, 1.814416, 1392
mono, 1.869115, 1392
sliced, 1.905575, 1392
SQ, 1.928244, 1392
HAT, 1.900102, 1392
MSarray_2, 2.021521, 1392
MSarray_3, 2.095563, 1392
MSarray_4, 2.111683, 1392
base, 1.808544, 1408
mono, 1.877514, 1408
sliced, 1.913372, 1408
SQ, 1.920110, 1408
HAT, 1.899034, 1408
MSarray_2, 2.017548, 1408
MSarray_3, 2.097313, 1408
MSarray_4, 2.111978, 1408
base, 1.837628, 1424
mono, 1.912878, 1424
sliced, 1.948825, 1424
SQ, 1.970670, 1424
HAT, 1.942072, 1424
MSarray_2, 2.051021, 1424
MSarray_3, 2.124116, 1424
MSarray_4, 2.151238, 1424
base, 1.860686, 1440
mono, 1.922238, 1440
sliced, 1.956652, 1440
SQ, 1.969564, 1440
HAT, 1.942265, 1440
MSarray_2, 2.059139, 1440
MSarray_3, 2.143212, 1440
MSarray_4, 2.163639, 1440
base, 1.889961, 1456
mono, 1.933742, 1456
sliced, 1.964983, 1456
SQ, 1.988285, 1456
HAT, 1.974236, 1456
MSarray_2, 2.094334, 1456
MSarray_3, 2.179341, 1456
MSarray_4, 2.186434, 1456
base, 1.899969, 1472
mono, 1.960723, 1472
sliced, 1.990441, 1472
SQ, 2.001949, 1472
HAT, 2.020307, 1472
MSarray_2, 2.094476, 1472
MSarray_3, 2.203114, 1472
MSarray_4, 2.191694, 1472
base, 1.920883, 1488
mono, 2.000891, 1488
sliced, 2.015406, 1488
SQ, 2.050981, 1488
HAT, 2.029968, 1488
MSarray_2, 2.125033, 1488
MSarray_3, 2.207801, 1488
MSarray_4, 2.226056, 1488
base, 1.934252, 1504
mono, 2.033187, 1504
sliced, 2.029674, 1504
SQ, 2.072263, 1504
HAT, 2.032337, 1504
MSarray_2, 2.148118, 1504
MSarray_3, 2.215165, 1504
MSarray_4, 2.239249, 1504
base, 1.971084, 1520
mono, 2.028846, 1520
sliced, 2.057471, 1520
SQ, 2.082764, 1520
HAT, 2.064140, 1520
MSarray_2, 2.164302, 1520
MSarray_3, 2.253591, 1520
MSarray_4, 2.271160, 1520
base, 1.961587, 1536
mono, 2.034526, 1536
sliced, 2.073779, 1536
SQ, 2.078476, 1536
HAT, 2.092888, 1536
MSarray_2, 2.189819, 1536
MSarray_3, 2.264687, 1536
MSarray_4, 2.280716, 1536
base, 1.995083, 1552
mono, 2.081268, 1552
sliced, 2.096395, 1552
SQ, 2.132797, 1552
HAT, 2.109757, 1552
MSarray_2, 2.212916, 1552
MSarray_3, 2.296661, 1552
MSarray_4, 2.325362, 1552
base, 2.020109, 1568
mono, 2.085980, 1568
sliced, 2.118249, 1568
SQ, 2.135256, 1568
HAT, 2.115730, 1568
MSarray_2, 2.230679, 1568
MSarray_3, 2.309059, 1568
MSarray_4, 2.322057, 1568
base, 2.049937, 1584
mono, 2.122100, 1584
sliced, 2.153303, 1584
SQ, 2.173708, 1584
HAT, 2.162438, 1584
MSarray_2, 2.266894, 1584
MSarray_3, 2.340896, 1584
MSarray_4, 2.356470, 1584
base, 2.067711, 1600
mono, 2.151838, 1600
sliced, 2.160405, 1600
SQ, 2.202423, 1600
HAT, 2.148585, 1600
MSarray_2, 2.280259, 1600
MSarray_3, 2.357867, 1600
MSarray_4, 2.383355, 1600
base, 2.127460, 1616
mono, 2.160501, 1616
sliced, 2.197472, 1616
SQ, 2.211731, 1616
HAT, 2.175209, 1616
MSarray_2, 2.286184, 1616
MSarray_3, 2.379965, 1616
MSarray_4, 2.404888, 1616
base, 2.103712, 1632
mono, 2.191728, 1632
sliced, 2.203933, 1632
SQ, 2.243482, 1632
HAT, 2.188435, 1632
MSarray_2, 2.307306, 1632
MSarray_3, 2.389996, 1632
MSarray_4, 2.419329, 1632
base, 2.163270, 1648
mono, 2.198694, 1648
sliced, 2.362950, 1648
SQ, 2.249223, 1648
HAT, 2.229915, 1648
MSarray_2, 2.330503, 1648
MSarray_3, 2.419066, 1648
MSarray_4, 2.456555, 1648
base, 2.147804, 1664
mono, 2.231147, 1664
sliced, 2.241357, 1664
