array_type,time,element_size,checksum
geo, 0.023753, 16, 549770476255
mono, 0.023908, 16, 549770476255
sliced, 0.018455, 16, 549770476255
SQ, 0.023218, 16, 549770476255
HAT, 0.022426, 16, 549770476255
MSarray_2, 0.015941, 16, 549770476255
MSarray_3, 0.016529, 16, 549770476255
MSarray_4, 0.015629, 16, 549770476255
geo, 0.025616, 32, 549770476255
mono, 0.025344, 32, 549770476255
sliced, 0.023495, 32, 549770476255
SQ, 0.025897, 32, 549770476255
HAT, 0.021928, 32, 549770476255
MSarray_2, 0.016881, 32, 549770476255
MSarray_3, 0.016147, 32, 549770476255
MSarray_4, 0.013970, 32, 549770476255
geo, 0.028169, 48, 549770476255
mono, 0.028400, 48, 549770476255
sliced, 0.025967, 48, 549770476255
SQ, 0.030659, 48, 549770476255
HAT, 0.025286, 48, 549770476255
MSarray_2, 0.016422, 48, 549770476255
MSarray_3, 0.016853, 48, 549770476255
MSarray_4, 0.014192, 48, 549770476255
geo, 0.029553, 64, 549770476255
mono, 0.031237, 64, 549770476255
sliced, 0.029143, 64, 549770476255
SQ, 0.030757, 64, 549770476255
HAT, 0.025991, 64, 549770476255
MSarray_2, 0.014979, 64, 549770476255
MSarray_3, 0.015252, 64, 549770476255
MSarray_4, 0.013385, 64, 549770476255
geo, 0.033076, 80, 549770476255
mono, 0.031905, 80, 549770476255
sliced, 0.031358, 80, 549770476255
SQ, 0.033367, 80, 549770476255
HAT, 0.024990, 80, 549770476255
MSarray_2, 0.013434, 80, 549770476255
MSarray_3, 0.015261, 80, 549770476255
MSarray_4, 0.014647, 80, 549770476255
geo, 0.035429, 96, 549770476255
mono, 0.036530, 96, 549770476255
sliced, 0.033038, 96, 549770476255
SQ, 0.035457, 96, 549770476255
HAT, 0.024876, 96, 549770476255
MSarray_2, 0.014180, 96, 549770476255
MSarray_3, 0.015270, 96, 549770476255
MSarray_4, 0.015290, 96, 549770476255
geo, 0.036767, 112, 549770476255
mono, 0.030035, 112, 549770476255
sliced, 0.034540, 112, 549770476255
SQ, 0.035560, 112, 549770476255
HAT, 0.026363, 112, 549770476255
MSarray_2, 0.013715, 112, 549770476255
MSarray_3, 0.015399, 112, 549770476255
MSarray_4, 0.016220, 112, 549770476255
geo, 0.036475, 128, 549770476255
mono, 0.038355, 128, 549770476255
sliced, 0.035146, 128, 549770476255
SQ, 0.037977, 128, 549770476255
HAT, 0.028202, 128, 549770476255
MSarray_2, 0.015127, 128, 549770476255
MSarray_3, 0.015349, 128, 549770476255
MSarray_4, 0.017552, 128, 549770476255
geo, 0.038424, 144, 549770476255
mono, 0.041159, 144, 549770476255
sliced, 0.039320, 144, 549770476255
SQ, 0.040958, 144, 549770476255
HAT, 0.028643, 144, 549770476255
MSarray_2, 0.014805, 144, 549770476255
MSarray_3, 0.017321, 144, 549770476255
MSarray_4, 0.018989, 144, 549770476255
geo, 0.043324, 160, 549770476255
mono, 0.042010, 160, 549770476255
sliced, 0.038414, 160, 549770476255
SQ, 0.038450, 160, 549770476255
HAT, 0.030232, 160, 549770476255
MSarray_2, 0.016177, 160, 549770476255
MSarray_3, 0.017203, 160, 549770476255
MSarray_4, 0.019966, 160, 549770476255
geo, 0.042586, 176, 549770476255
mono, 0.043958, 176, 549770476255
sliced, 0.041749, 176, 549770476255
SQ, 0.043207, 176, 549770476255
HAT, 0.027150, 176, 549770476255
MSarray_2, 0.016415, 176, 549770476255
MSarray_3, 0.019159, 176, 549770476255
MSarray_4, 0.022146, 176, 549770476255
geo, 0.045050, 192, 549770476255
mono, 0.046942, 192, 549770476255
sliced, 0.042999, 192, 549770476255
SQ, 0.047933, 192, 549770476255
HAT, 0.032967, 192, 549770476255
MSarray_2, 0.018994, 192, 549770476255
MSarray_3, 0.019676, 192, 549770476255
MSarray_4, 0.023604, 192, 549770476255
geo, 0.044072, 208, 549770476255
mono, 0.046877, 208, 549770476255
sliced, 0.049379, 208, 549770476255
SQ, 0.050135, 208, 549770476255
HAT, 0.034903, 208, 549770476255
MSarray_2, 0.018733, 208, 549770476255
MSarray_3, 0.021253, 208, 549770476255
MSarray_4, 0.025387, 208, 549770476255
geo, 0.050685, 224, 549770476255
mono, 0.046409, 224, 549770476255
sliced, 0.048719, 224, 549770476255
SQ, 0.049391, 224, 549770476255
HAT, 0.034441, 224, 549770476255
MSarray_2, 0.020938, 224, 549770476255
MSarray_3, 0.021834, 224, 549770476255
MSarray_4, 0.025590, 224, 549770476255
geo, 0.052267, 240, 549770476255
mono, 0.052729, 240, 549770476255
sliced, 0.056391, 240, 549770476255
SQ, 0.056539, 240, 549770476255
HAT, 0.040693, 240, 549770476255
MSarray_2, 0.020282, 240, 549770476255
MSarray_3, 0.023744, 240, 549770476255
MSarray_4, 0.027973, 240, 549770476255
geo, 0.055897, 256, 549770476255
mono, 0.055607, 256, 549770476255
sliced, 0.053962, 256, 549770476255
SQ, 0.056712, 256, 549770476255
HAT, 0.040860, 256, 549770476255
MSarray_2, 0.023583, 256, 549770476255
MSarray_3, 0.023736, 256, 549770476255
MSarray_4, 0.033427, 256, 549770476255
geo, 0.057050, 272, 549770476255
